,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,,sqrt,1,2,10,0.9936912417836204,0.06655325889587402,364
1,,sqrt,1,2,25,0.9941531355480547,0.12563529014587402,26
2,,sqrt,1,2,50,0.9941531355480547,0.24893617630004883,26
3,,sqrt,1,2,100,0.9941531355480547,0.39399189949035646,26
4,,sqrt,1,2,150,0.9941531355480547,0.8008679389953614,26
5,,sqrt,1,2,200,0.9941531355480547,1.0610029697418213,26
6,,sqrt,1,5,10,0.9941531355480547,0.04043402671813965,26
7,,sqrt,1,5,25,0.995383904778824,0.10800199508666992,1
8,,sqrt,1,5,50,0.9941531355480547,0.23702049255371094,26
9,,sqrt,1,5,100,0.9941531355480547,0.39870257377624513,26
10,,sqrt,1,5,150,0.9941531355480547,0.7107007503509521,26
11,,sqrt,1,5,200,0.9941531355480547,0.9239762306213379,26
12,,sqrt,1,10,10,0.9941531355480547,0.04428081512451172,26
13,,sqrt,1,10,25,0.9941531355480547,0.11757097244262696,26
14,,sqrt,1,10,50,0.9941531355480547,0.2041445255279541,26
15,,sqrt,1,10,100,0.9941531355480547,0.5850368022918702,26
16,,sqrt,1,10,150,0.9941531355480547,0.6604918956756591,26
17,,sqrt,1,10,200,0.9941531355480547,0.8593716144561767,26
18,,sqrt,2,2,10,0.9941531355480547,0.046046209335327146,26
19,,sqrt,2,2,25,0.9936912417836204,0.10972747802734376,364
20,,sqrt,2,2,50,0.9941531355480547,0.19687905311584472,26
21,,sqrt,2,2,100,0.9941531355480547,0.4271561145782471,26
22,,sqrt,2,2,150,0.9941531355480547,0.5905514240264893,26
23,,sqrt,2,2,200,0.9941531355480547,0.8347388744354248,26
24,,sqrt,2,5,10,0.995383904778824,0.04299707412719726,1
25,,sqrt,2,5,25,0.9936912417836204,0.1108243465423584,364
26,,sqrt,2,5,50,0.9941531355480547,0.22277250289916992,26
27,,sqrt,2,5,100,0.9941531355480547,0.3923501491546631,26
28,,sqrt,2,5,150,0.9941531355480547,0.6390012264251709,26
29,,sqrt,2,5,200,0.9941531355480547,0.8487024784088135,26
30,,sqrt,2,10,10,0.9941531355480547,0.04703068733215332,26
31,,sqrt,2,10,25,0.9941531355480547,0.1341719627380371,26
32,,sqrt,2,10,50,0.9941531355480547,0.19602785110473633,26
33,,sqrt,2,10,100,0.9941531355480547,0.4505408763885498,26
34,,sqrt,2,10,150,0.9941531355480547,0.6080150604248047,26
35,,sqrt,2,10,200,0.9941531355480547,0.9723334789276123,26
36,,sqrt,4,2,10,0.9935370403268786,0.03983020782470703,404
37,,sqrt,4,2,25,0.9939989340913129,0.08836359977722168,359
38,,sqrt,4,2,50,0.9932293480191863,0.24519453048706055,420
39,,sqrt,4,2,100,0.9932293480191863,0.6867315292358398,420
40,,sqrt,4,2,150,0.9932293480191863,0.9312428951263427,420
41,,sqrt,4,2,200,0.9932293480191863,1.0125930309295654,420
42,,sqrt,4,5,10,0.9938450879374667,0.06349344253540039,361
43,,sqrt,4,5,25,0.9935370403268786,0.15908451080322267,404
44,,sqrt,4,5,50,0.9935370403268786,0.34001498222351073,404
45,,sqrt,4,5,100,0.9932293480191863,0.48517475128173826,420
46,,sqrt,4,5,150,0.9932293480191863,0.9227407455444336,420
47,,sqrt,4,5,200,0.9932293480191863,0.9058330535888672,420
48,,sqrt,4,10,10,0.9933831941730326,0.052569580078125,419
49,,sqrt,4,10,25,0.9935370403268786,0.13151764869689941,404
50,,sqrt,4,10,50,0.9932293480191863,0.3442655086517334,420
51,,sqrt,4,10,100,0.9932293480191863,0.5436363220214844,420
52,,sqrt,4,10,150,0.9932293480191863,0.7740792751312255,420
53,,sqrt,4,10,200,0.9932293480191863,1.3421794891357421,420
54,,log2,1,2,10,0.9941531355480547,0.04588766098022461,26
55,,log2,1,2,25,0.9941531355480547,0.10657243728637696,26
56,,log2,1,2,50,0.9941531355480547,0.20489082336425782,26
57,,log2,1,2,100,0.9941531355480547,0.5998331069946289,26
58,,log2,1,2,150,0.9941531355480547,0.7304260730743408,26
59,,log2,1,2,200,0.9941531355480547,1.4616794109344482,26
60,,log2,1,5,10,0.9949220110143898,0.045741844177246097,22
61,,log2,1,5,25,0.9941531355480547,0.09942541122436524,26
62,,log2,1,5,50,0.9941531355480547,0.18656482696533203,26
63,,log2,1,5,100,0.9941531355480547,0.4708682060241699,26
64,,log2,1,5,150,0.9941531355480547,0.703663682937622,26
65,,log2,1,5,200,0.9941531355480547,1.204231071472168,26
66,,log2,1,10,10,0.9941531355480547,0.048197603225708006,26
67,,log2,1,10,25,0.9941531355480547,0.09935364723205567,26
68,,log2,1,10,50,0.9941531355480547,0.2644827365875244,26
69,,log2,1,10,100,0.9941531355480547,0.47515296936035156,26
70,,log2,1,10,150,0.9941531355480547,0.6340883255004883,26
71,,log2,1,10,200,0.9941531355480547,1.4813032627105713,26
72,,log2,2,2,10,0.9936912417836204,0.03974556922912598,364
73,,log2,2,2,25,0.9936912417836204,0.15405421257019042,364
74,,log2,2,2,50,0.9941531355480547,0.2596672534942627,26
75,,log2,2,2,100,0.9941531355480547,0.5151171207427978,26
76,,log2,2,2,150,0.9941531355480547,0.6487312316894531,26
77,,log2,2,2,200,0.9941531355480547,0.8484434604644775,26
78,,log2,2,5,10,0.9941531355480547,0.050754880905151366,26
79,,log2,2,5,25,0.9941531355480547,0.11349711418151856,26
80,,log2,2,5,50,0.9941531355480547,0.23648738861083984,26
81,,log2,2,5,100,0.9941531355480547,0.4370307922363281,26
82,,log2,2,5,150,0.9941531355480547,0.719744873046875,26
83,,log2,2,5,200,0.9941531355480547,0.8689002513885498,26
84,,log2,2,10,10,0.995383904778824,0.036321401596069336,1
85,,log2,2,10,25,0.9941531355480547,0.09986000061035157,26
86,,log2,2,10,50,0.9941531355480547,0.19861955642700196,26
87,,log2,2,10,100,0.9941531355480547,0.45171318054199217,26
88,,log2,2,10,150,0.9941531355480547,0.6010962009429932,26
89,,log2,2,10,200,0.9941531355480547,0.807972764968872,26
90,,log2,4,2,10,0.9935370403268786,0.05206317901611328,404
91,,log2,4,2,25,0.9936912417836204,0.11334414482116699,364
92,,log2,4,2,50,0.9935370403268786,0.21197733879089356,404
93,,log2,4,2,100,0.9932293480191863,0.5405787467956543,420
94,,log2,4,2,150,0.9936912417836204,0.6901068687438965,364
95,,log2,4,2,200,0.9932293480191863,1.0571367740631104,420
96,,log2,4,5,10,0.9932293480191863,0.03780794143676758,420
97,,log2,4,5,25,0.9932293480191863,0.11984291076660156,420
98,,log2,4,5,50,0.9936912417836204,0.25948119163513184,364
99,,log2,4,5,100,0.9932293480191863,0.47579522132873536,420
100,,log2,4,5,150,0.9932293480191863,0.6068037986755371,420
101,,log2,4,5,200,0.9932293480191863,1.492886209487915,420
102,,log2,4,10,10,0.9936908864807247,0.040515804290771486,403
103,,log2,4,10,25,0.9936912417836204,0.1335820198059082,364
104,,log2,4,10,50,0.9932293480191863,0.38643622398376465,420
105,,log2,4,10,100,0.9935370403268786,0.5056404590606689,404
106,,log2,4,10,150,0.9932293480191863,0.6855309963226318,420
107,,log2,4,10,200,0.9932293480191863,1.1264902114868165,420
108,,,1,2,10,0.995383904778824,0.04179377555847168,1
109,,,1,2,25,0.9941531355480547,0.1075979232788086,26
110,,,1,2,50,0.9941531355480547,0.23124589920043945,26
111,,,1,2,100,0.9941531355480547,0.5209096908569336,26
112,,,1,2,150,0.9941531355480547,0.8699035167694091,26
113,,,1,2,200,0.9941531355480547,1.2110398292541504,26
114,,,1,5,10,0.9941531355480547,0.04323840141296387,26
115,,,1,5,25,0.9941531355480547,0.1052135944366455,26
116,,,1,5,50,0.9941531355480547,0.2871406078338623,26
117,,,1,5,100,0.9941531355480547,0.5229458332061767,26
118,,,1,5,150,0.9941531355480547,0.7369250297546387,26
119,,,1,5,200,0.9941531355480547,0.9485392570495605,26
120,,,1,10,10,0.9941531355480547,0.04110941886901855,26
121,,,1,10,25,0.9941531355480547,0.1030606746673584,26
122,,,1,10,50,0.9941531355480547,0.26119289398193357,26
123,,,1,10,100,0.9941531355480547,0.6073462486267089,26
124,,,1,10,150,0.9941531355480547,0.9255148887634277,26
125,,,1,10,200,0.9941531355480547,1.1861907958984375,26
126,,,2,2,10,0.995383904778824,0.09986915588378906,1
127,,,2,2,25,0.9941531355480547,0.23111324310302733,26
128,,,2,2,50,0.9941531355480547,0.40606980323791503,26
129,,,2,2,100,0.9941531355480547,0.5714466094970703,26
