,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,l1,liblinear,0.7601161840469,0.026078224182128906,491
1,0.01,50,l1,saga,0.8824449576597383,0.04862146377563477,481
2,0.01,50,l1,lbfgs,,0.001605081558227539,541
3,0.01,50,l1,newton-cg,,0.0038680076599121095,541
4,0.01,50,l2,liblinear,0.7601161840469,0.016428709030151367,491
5,0.01,50,l2,saga,0.755503404986084,0.041019248962402347,511
6,0.01,50,l2,lbfgs,0.755503404986084,0.02484307289123535,511
7,0.01,50,l2,newton-cg,0.755503404986084,0.0443145751953125,511
8,0.01,50,elasticnet,liblinear,,0.0034844398498535155,541
9,0.01,50,elasticnet,saga,,0.0042419910430908205,541
10,0.01,50,elasticnet,lbfgs,,0.0017350673675537109,541
11,0.01,50,elasticnet,newton-cg,,0.0030570030212402344,541
12,0.01,50,,liblinear,,0.0027643680572509766,541
13,0.01,50,,saga,0.8967526499674306,0.04190583229064941,1
14,0.01,50,,lbfgs,0.8967526499674306,0.04263978004455567,1
15,0.01,50,,newton-cg,0.8967526499674306,0.022852754592895506,1
16,0.01,100,l1,liblinear,0.7601161840469,0.031373453140258786,491
17,0.01,100,l1,saga,0.8824449576597383,0.026122570037841797,481
18,0.01,100,l1,lbfgs,,0.0031400203704833986,541
19,0.01,100,l1,newton-cg,,0.0014408111572265625,541
20,0.01,100,l2,liblinear,0.7601161840469,0.01869826316833496,491
21,0.01,100,l2,saga,0.755503404986084,0.035161733627319336,511
22,0.01,100,l2,lbfgs,0.755503404986084,0.02537703514099121,511
23,0.01,100,l2,newton-cg,0.755503404986084,0.01738629341125488,511
24,0.01,100,elasticnet,liblinear,,0.001420307159423828,541
25,0.01,100,elasticnet,saga,,0.0015731334686279296,541
26,0.01,100,elasticnet,lbfgs,,0.0028878211975097655,541
27,0.01,100,elasticnet,newton-cg,,0.009912967681884766,541
28,0.01,100,,liblinear,,0.001609659194946289,541
29,0.01,100,,saga,0.8967526499674306,0.030836057662963868,1
30,0.01,100,,lbfgs,0.8967526499674306,0.020462942123413087,1
31,0.01,100,,newton-cg,0.8967526499674306,0.024716854095458984,1
32,0.01,150,l1,liblinear,0.7601161840469,0.03480710983276367,491
33,0.01,150,l1,saga,0.8824449576597383,0.027706480026245116,481
34,0.01,150,l1,lbfgs,,0.001640653610229492,541
35,0.01,150,l1,newton-cg,,0.0015590667724609375,541
36,0.01,150,l2,liblinear,0.7601161840469,0.01597113609313965,491
37,0.01,150,l2,saga,0.755503404986084,0.02595181465148926,511
38,0.01,150,l2,lbfgs,0.755503404986084,0.01765594482421875,511
39,0.01,150,l2,newton-cg,0.755503404986084,0.018757152557373046,511
40,0.01,150,elasticnet,liblinear,,0.001599740982055664,541
41,0.01,150,elasticnet,saga,,0.002012300491333008,541
42,0.01,150,elasticnet,lbfgs,,0.0014868736267089843,541
43,0.01,150,elasticnet,newton-cg,,0.0012021541595458984,541
44,0.01,150,,liblinear,,0.001702880859375,541
45,0.01,150,,saga,0.8967526499674306,0.0331878662109375,1
46,0.01,150,,lbfgs,0.8967526499674306,0.02076101303100586,1
47,0.01,150,,newton-cg,0.8967526499674306,0.02382688522338867,1
48,0.01,200,l1,liblinear,0.7601161840469,0.024759578704833984,491
49,0.01,200,l1,saga,0.8824449576597383,0.027365398406982423,481
50,0.01,200,l1,lbfgs,,0.0017364978790283202,541
51,0.01,200,l1,newton-cg,,0.001999568939208984,541
52,0.01,200,l2,liblinear,0.7601161840469,0.010448646545410157,491
53,0.01,200,l2,saga,0.755503404986084,0.024227237701416014,511
54,0.01,200,l2,lbfgs,0.755503404986084,0.024742984771728517,511
55,0.01,200,l2,newton-cg,0.755503404986084,0.018744373321533205,511
56,0.01,200,elasticnet,liblinear,,0.0012639522552490234,541
57,0.01,200,elasticnet,saga,,0.0016115188598632812,541
58,0.01,200,elasticnet,lbfgs,,0.0019023895263671875,541
59,0.01,200,elasticnet,newton-cg,,0.001310586929321289,541
60,0.01,200,,liblinear,,0.0019591331481933595,541
61,0.01,200,,saga,0.8967526499674306,0.021189546585083006,1
62,0.01,200,,lbfgs,0.8967526499674306,0.020197725296020506,1
63,0.01,200,,newton-cg,0.8967526499674306,0.022586917877197264,1
64,0.01,250,l1,liblinear,0.7601161840469,0.03220105171203613,491
65,0.01,250,l1,saga,0.8824449576597383,0.035843181610107425,481
66,0.01,250,l1,lbfgs,,0.0016411304473876952,541
67,0.01,250,l1,newton-cg,,0.006018829345703125,541
68,0.01,250,l2,liblinear,0.7601161840469,0.01268754005432129,491
69,0.01,250,l2,saga,0.755503404986084,0.029379749298095705,511
70,0.01,250,l2,lbfgs,0.755503404986084,0.01653881072998047,511
71,0.01,250,l2,newton-cg,0.755503404986084,0.018849992752075197,511
72,0.01,250,elasticnet,liblinear,,0.0019670963287353516,541
73,0.01,250,elasticnet,saga,,0.00200505256652832,541
74,0.01,250,elasticnet,lbfgs,,0.0009762763977050782,541
75,0.01,250,elasticnet,newton-cg,,0.0013428688049316405,541
76,0.01,250,,liblinear,,0.002081632614135742,541
77,0.01,250,,saga,0.8967526499674306,0.02662234306335449,1
78,0.01,250,,lbfgs,0.8967526499674306,0.04608197212219238,1
79,0.01,250,,newton-cg,0.8967526499674306,0.04329524040222168,1
80,0.01,300,l1,liblinear,0.7601161840469,0.023709487915039063,491
81,0.01,300,l1,saga,0.8824449576597383,0.026013278961181642,481
82,0.01,300,l1,lbfgs,,0.0016017913818359374,541
83,0.01,300,l1,newton-cg,,0.0016767501831054688,541
84,0.01,300,l2,liblinear,0.7601161840469,0.013898849487304688,491
85,0.01,300,l2,saga,0.755503404986084,0.02621750831604004,511
86,0.01,300,l2,lbfgs,0.755503404986084,0.01652107238769531,511
87,0.01,300,l2,newton-cg,0.755503404986084,0.019088029861450195,511
88,0.01,300,elasticnet,liblinear,,0.0012365818023681641,541
89,0.01,300,elasticnet,saga,,0.0016095638275146484,541
90,0.01,300,elasticnet,lbfgs,,0.0016341686248779296,541
91,0.01,300,elasticnet,newton-cg,,0.0016097545623779297,541
92,0.01,300,,liblinear,,0.002011728286743164,541
93,0.01,300,,saga,0.8967526499674306,0.022345638275146483,1
94,0.01,300,,lbfgs,0.8967526499674306,0.02008476257324219,1
95,0.01,300,,newton-cg,0.8967526499674306,0.028714513778686522,1
96,0.01,250,l1,liblinear,0.7601161840469,0.038721656799316405,491
97,0.01,250,l1,saga,0.8824449576597383,0.048723363876342775,481
98,0.01,250,l1,lbfgs,,0.0017089366912841797,541
99,0.01,250,l1,newton-cg,,0.0014070510864257813,541
100,0.01,250,l2,liblinear,0.7601161840469,0.011002492904663087,491
101,0.01,250,l2,saga,0.755503404986084,0.026143741607666016,511
102,0.01,250,l2,lbfgs,0.755503404986084,0.02488389015197754,511
103,0.01,250,l2,newton-cg,0.755503404986084,0.030083560943603517,511
104,0.01,250,elasticnet,liblinear,,0.0025318622589111327,541
105,0.01,250,elasticnet,saga,,0.0019170761108398438,541
106,0.01,250,elasticnet,lbfgs,,0.0023813724517822267,541
107,0.01,250,elasticnet,newton-cg,,0.0020246982574462892,541
108,0.01,250,,liblinear,,0.0012885570526123048,541
109,0.01,250,,saga,0.8967526499674306,0.024318647384643555,1
110,0.01,250,,lbfgs,0.8967526499674306,0.02134566307067871,1
111,0.01,250,,newton-cg,0.8967526499674306,0.024761724472045898,1
112,0.01,400,l1,liblinear,0.7601161840469,0.029270219802856445,491
113,0.01,400,l1,saga,0.8824449576597383,0.0482975959777832,481
114,0.01,400,l1,lbfgs,,0.004219865798950196,541
115,0.01,400,l1,newton-cg,,0.0013261795043945312,541
116,0.01,400,l2,liblinear,0.7601161840469,0.015135097503662109,491
117,0.01,400,l2,saga,0.755503404986084,0.025987672805786132,511
118,0.01,400,l2,lbfgs,0.755503404986084,0.018425559997558592,511
119,0.01,400,l2,newton-cg,0.755503404986084,0.02024393081665039,511
120,0.01,400,elasticnet,liblinear,,0.001500082015991211,541
121,0.01,400,elasticnet,saga,,0.0023125171661376952,541
122,0.01,400,elasticnet,lbfgs,,0.002345561981201172,541
123,0.01,400,elasticnet,newton-cg,,0.0025579452514648436,541
124,0.01,400,,liblinear,,0.0025177955627441405,541
125,0.01,400,,saga,0.8967526499674306,0.022564792633056642,1
126,0.01,400,,lbfgs,0.8967526499674306,0.01906614303588867,1
127,0.01,400,,newton-cg,0.8967526499674306,0.030627107620239256,1
128,0.01,450,l1,liblinear,0.7601161840469,0.023432302474975585,491
129,0.01,450,l1,saga,0.8824449576597383,0.025053691864013673,481
130,0.01,450,l1,lbfgs,,0.003627777099609375,541
131,0.01,450,l1,newton-cg,,0.0020222187042236326,541
132,0.01,450,l2,liblinear,0.7601161840469,0.025682735443115234,491
133,0.01,450,l2,saga,0.755503404986084,0.06646227836608887,511
134,0.01,450,l2,lbfgs,0.755503404986084,0.0254608154296875,511
135,0.01,450,l2,newton-cg,0.755503404986084,0.04701433181762695,511
136,0.01,450,elasticnet,liblinear,,0.002204132080078125,541
137,0.01,450,elasticnet,saga,,0.0020931243896484377,541
138,0.01,450,elasticnet,lbfgs,,0.0014278411865234375,541
139,0.01,450,elasticnet,newton-cg,,0.0021934986114501955,541
140,0.01,450,,liblinear,,0.0017202377319335937,541
141,0.01,450,,saga,0.8967526499674306,0.01987037658691406,1
142,0.01,450,,lbfgs,0.8967526499674306,0.027579307556152344,1
143,0.01,450,,newton-cg,0.8967526499674306,0.02965707778930664,1
144,0.01,500,l1,liblinear,0.7601161840469,0.020925617218017577,491
145,0.01,500,l1,saga,0.8824449576597383,0.052746248245239255,481
146,0.01,500,l1,lbfgs,,0.0014080047607421876,541
147,0.01,500,l1,newton-cg,,0.0015050888061523438,541
148,0.01,500,l2,liblinear,0.7601161840469,0.018891286849975587,491
149,0.01,500,l2,saga,0.755503404986084,0.06198887825012207,511
150,0.01,500,l2,lbfgs,0.755503404986084,0.0545964241027832,511
151,0.01,500,l2,newton-cg,0.755503404986084,0.03224625587463379,511
152,0.01,500,elasticnet,liblinear,,0.003339242935180664,541
153,0.01,500,elasticnet,saga,,0.002817535400390625,541
154,0.01,500,elasticnet,lbfgs,,0.002945709228515625,541
155,0.01,500,elasticnet,newton-cg,,0.0022104740142822265,541
156,0.01,500,,liblinear,,0.001926755905151367,541
157,0.01,500,,saga,0.8967526499674306,0.02588624954223633,1
158,0.01,500,,lbfgs,0.8967526499674306,0.019748592376708986,1
159,0.01,500,,newton-cg,0.8967526499674306,0.024086761474609374,1
160,0.1,50,l1,liblinear,0.8967526499674306,0.028490781784057617,1
161,0.1,50,l1,saga,0.8967526499674306,0.026826095581054688,1
162,0.1,50,l1,lbfgs,,0.001609039306640625,541
163,0.1,50,l1,newton-cg,,0.0025042057037353515,541
164,0.1,50,l2,liblinear,0.8967526499674306,0.01217198371887207,1
165,0.1,50,l2,saga,0.8967526499674306,0.019990015029907226,1
