,param_C,param_degree,param_gamma,param_kernel,mean_test_score,mean_fit_time,rank_test_score
0,0.1,2,scale,linear,0.9182938354947593,3.38703989982605,37
1,0.1,2,scale,rbf,0.9472225972641677,1.4125350952148437,33
2,0.1,2,scale,poly,0.9366059098714988,1.5514698028564453,36
3,0.1,2,scale,sigmoid,0.3200470184165335,6.0730784893035885,64
4,0.1,2,auto,linear,0.9182938354947593,3.1887444972991945,37
5,0.1,2,auto,rbf,0.9944613015929413,0.5362085342407227,17
6,0.1,2,auto,poly,0.9738427192514951,3.875972843170166,30
7,0.1,2,auto,sigmoid,0.5177720139752472,4.250009775161743,55
8,0.1,3,scale,linear,0.9182938354947593,2.313066864013672,37
9,0.1,3,scale,rbf,0.9472225972641677,1.0241982460021972,33
10,0.1,3,scale,poly,0.963995262628057,0.8451320648193359,31
11,0.1,3,scale,sigmoid,0.3200470184165335,4.849760437011719,64
12,0.1,3,auto,linear,0.9182938354947593,2.653346061706543,37
13,0.1,3,auto,rbf,0.9944613015929413,0.5803304195404053,17
14,0.1,3,auto,poly,0.9956915970865163,8.840603733062744,16
15,0.1,3,auto,sigmoid,0.5177720139752472,5.244139814376831,55
16,0.1,4,scale,linear,0.9182938354947593,3.016436147689819,37
17,0.1,4,scale,rbf,0.9472225972641677,1.2196357727050782,33
18,0.1,4,scale,poly,0.9763046130159294,0.8063903331756592,28
19,0.1,4,scale,sigmoid,0.3200470184165335,5.039163827896118,64
20,0.1,4,auto,linear,0.9182938354947593,2.4238843441009523,37
21,0.1,4,auto,rbf,0.9944613015929413,0.5556046962738037,17
22,0.1,4,auto,poly,1.0,6.25671272277832,1
23,0.1,4,auto,sigmoid,0.5177720139752472,5.312284278869629,55
24,1.0,2,scale,linear,0.9182938354947593,18.271363306045533,37
25,1.0,2,scale,rbf,0.9890753834310416,0.5312458038330078,23
26,1.0,2,scale,poly,0.9636868597145731,1.6437893867492677,32
27,1.0,2,scale,sigmoid,0.31881601231716705,6.485920572280884,67
28,1.0,2,auto,linear,0.9182938354947593,16.138796663284303,37
29,1.0,2,auto,rbf,1.0,0.2531149387359619,1
30,1.0,2,auto,poly,0.9824597619470599,9.345783472061157,26
31,1.0,2,auto,sigmoid,0.4062116420915497,4.269353675842285,58
32,1.0,3,scale,linear,0.9182938354947593,13.07280650138855,37
33,1.0,3,scale,rbf,0.9890753834310416,0.5048622608184814,23
34,1.0,3,scale,poly,0.9818439035944809,1.6099570751190186,27
35,1.0,3,scale,sigmoid,0.31881601231716705,4.5854391098022464,67
36,1.0,3,auto,linear,0.9182938354947593,16.85055842399597,37
37,1.0,3,auto,rbf,1.0,0.17384371757507325,1
38,1.0,3,auto,poly,1.0,19.490730953216552,1
39,1.0,3,auto,sigmoid,0.4062116420915497,5.3865128517150875,58
40,1.0,4,scale,linear,0.9182938354947593,15.662750053405762,37
41,1.0,4,scale,rbf,0.9890753834310416,0.556089448928833,23
42,1.0,4,scale,poly,0.991383075738734,1.912065029144287,22
43,1.0,4,scale,sigmoid,0.31881601231716705,5.15509262084961,67
44,1.0,4,auto,linear,0.9182938354947593,15.218740034103394,37
45,1.0,4,auto,rbf,1.0,0.2892285346984863,1
46,1.0,4,auto,poly,1.0,6.319473695755005,1
47,1.0,4,auto,sigmoid,0.4062116420915497,4.434763240814209,58
48,10.0,2,scale,linear,0.9182938354947593,132.568123626709,37
49,10.0,2,scale,rbf,0.9961531355480547,0.2939277172088623,13
50,10.0,2,scale,poly,0.9749197607627169,6.2812131404876705,29
51,10.0,2,scale,sigmoid,0.31881601231716705,5.084630823135376,67
52,10.0,2,auto,linear,0.9182938354947593,114.51870737075805,37
53,10.0,2,auto,rbf,1.0,0.13365378379821777,1
54,10.0,2,auto,poly,0.9938453248060638,34.83749589920044,20
55,10.0,2,auto,sigmoid,0.35962503701071824,3.3730467796325683,61
56,10.0,3,scale,linear,0.9182938354947593,84.60281357765197,37
57,10.0,3,scale,rbf,0.9961531355480547,0.2082439422607422,13
58,10.0,3,scale,poly,0.9921527802451588,4.663469552993774,21
59,10.0,3,scale,sigmoid,0.31881601231716705,3.038418006896973,67
60,10.0,3,auto,linear,0.9182938354947593,84.38256149291992,37
61,10.0,3,auto,rbf,1.0,0.09897184371948242,1
62,10.0,3,auto,poly,1.0,10.19325623512268,1
63,10.0,3,auto,sigmoid,0.35962503701071824,2.8546054363250732,61
64,10.0,4,scale,linear,0.9182938354947593,85.50586795806885,37
65,10.0,4,scale,rbf,0.9961531355480547,0.21101579666137696,13
66,10.0,4,scale,poly,0.9983074554390952,3.0145746231079102,12
67,10.0,4,scale,sigmoid,0.31881601231716705,2.9936294078826906,67
68,10.0,4,auto,linear,0.9182938354947593,87.34478378295898,37
69,10.0,4,auto,rbf,1.0,0.10969295501708984,1
70,10.0,4,auto,poly,1.0,4.040601491928101,1
71,10.0,4,auto,sigmoid,0.35962503701071824,2.8625542163848876,61
