,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,mean_test_score,mean_fit_time,rank_test_score
0,gini,,,1,2,1.0,0.009710025787353516,1
1,gini,,,1,5,1.0,0.009963226318359376,1
2,gini,,,1,10,1.0,0.009714651107788085,1
3,gini,,,2,2,1.0,0.00963888168334961,1
4,gini,,,2,5,1.0,0.00956120491027832,1
5,gini,,,2,10,1.0,0.014930534362792968,1
6,gini,,,5,2,0.9990765677740274,0.011989879608154296,149
7,gini,,,5,5,0.9990765677740274,0.012995004653930664,149
8,gini,,,5,10,0.9990765677740274,0.009648275375366212,149
9,gini,,sqrt,1,2,1.0,0.006182050704956055,1
10,gini,,sqrt,1,5,1.0,0.007341241836547852,1
11,gini,,sqrt,1,10,1.0,0.0059070587158203125,1
12,gini,,sqrt,2,2,1.0,0.005871391296386719,1
13,gini,,sqrt,2,5,1.0,0.008290243148803712,1
14,gini,,sqrt,2,10,1.0,0.010569238662719726,1
15,gini,,sqrt,5,2,0.9992301770592764,0.013631153106689452,147
16,gini,,sqrt,5,5,1.0,0.00702972412109375,1
17,gini,,sqrt,5,10,0.9983073370047965,0.008373737335205078,193
18,gini,,log2,1,2,1.0,0.00746002197265625,1
19,gini,,log2,1,5,1.0,0.007384252548217773,1
20,gini,,log2,1,10,1.0,0.0075286865234375,1
21,gini,,log2,2,2,1.0,0.0065826416015625,1
22,gini,,log2,2,5,1.0,0.007541227340698242,1
23,gini,,log2,2,10,1.0,0.0065577030181884766,1
24,gini,,log2,5,2,0.9995381062355658,0.006995296478271485,136
25,gini,,log2,5,5,0.9990765677740274,0.005648040771484375,149
26,gini,,log2,5,10,0.9986147924438917,0.006114816665649414,185
27,gini,5,,1,2,0.9806123053236216,0.009503650665283202,222
28,gini,5,,1,5,0.9806123053236216,0.011798810958862305,222
29,gini,5,,1,10,0.9806123053236216,0.016518259048461915,222
30,gini,5,,2,2,0.9806123053236216,0.01407308578491211,222
31,gini,5,,2,5,0.9806123053236216,0.00848841667175293,222
32,gini,5,,2,10,0.9806123053236216,0.009126758575439453,222
33,gini,5,,5,2,0.9806123053236216,0.016489648818969728,222
34,gini,5,,5,5,0.9806123053236216,0.023537683486938476,222
35,gini,5,,5,10,0.9806123053236216,0.00871739387512207,222
36,gini,5,sqrt,1,2,0.9738418902114052,0.008973979949951172,252
37,gini,5,sqrt,1,5,0.9632297033220819,0.006514120101928711,267
38,gini,5,sqrt,1,10,0.9749210635400012,0.009857892990112305,249
39,gini,5,sqrt,2,2,0.9733796411440754,0.006144571304321289,254
40,gini,5,sqrt,2,5,0.9803053236217207,0.006060266494750976,240
41,gini,5,sqrt,2,10,0.9786140818381002,0.0053827762603759766,242
42,gini,5,sqrt,5,2,0.9766137265352046,0.0057909488677978516,247
43,gini,5,sqrt,5,5,0.9696868597145734,0.006592273712158203,261
44,gini,5,sqrt,5,10,0.9696881624918575,0.005318212509155274,260
45,gini,5,log2,1,2,0.9815346716409072,0.007414674758911133,220
46,gini,5,log2,1,5,0.980767809557648,0.0057866573333740234,221
47,gini,5,log2,1,10,0.9787650855687808,0.007340431213378906,241
48,gini,5,log2,2,2,0.9770747912595488,0.006873369216918945,246
49,gini,5,log2,2,5,0.9743031918043465,0.014071512222290038,251
50,gini,5,log2,2,10,0.9773834310416298,0.013232278823852538,244
51,gini,5,log2,5,2,0.9606106472434417,0.009990787506103516,270
52,gini,5,log2,5,5,0.973073606916563,0.008040666580200195,255
53,gini,5,log2,5,10,0.9707672173861551,0.009440374374389649,259
54,gini,10,,1,2,1.0,0.008110284805297852,1
55,gini,10,,1,5,1.0,0.00915217399597168,1
56,gini,10,,1,10,1.0,0.010222530364990235,1
57,gini,10,,2,2,1.0,0.00880417823791504,1
58,gini,10,,2,5,1.0,0.016271066665649415,1
59,gini,10,,2,10,1.0,0.018963623046875,1
60,gini,10,,5,2,0.9990765677740274,0.009256696701049805,149
61,gini,10,,5,5,0.9990765677740274,0.01573524475097656,149
62,gini,10,,5,10,0.9990765677740274,0.013766288757324219,149
63,gini,10,sqrt,1,2,0.9996923076923077,0.006317424774169922,128
64,gini,10,sqrt,1,5,1.0,0.0077075004577636715,1
65,gini,10,sqrt,1,10,0.9981538461538462,0.009882831573486328,197
66,gini,10,sqrt,2,2,0.9978444957659738,0.012878656387329102,209
67,gini,10,sqrt,2,5,0.9996923076923077,0.0073798179626464845,128
68,gini,10,sqrt,2,10,0.9969227216201813,0.005087614059448242,213
69,gini,10,sqrt,5,2,0.9995381062355658,0.006685733795166016,136
70,gini,10,sqrt,5,5,0.9987692307692309,0.006739044189453125,179
71,gini,10,sqrt,5,10,0.9993846153846153,0.005629205703735351,141
72,gini,10,log2,1,2,0.9984603541185528,0.006394290924072265,188
73,gini,10,log2,1,5,0.9984603541185528,0.00715031623840332,188
74,gini,10,log2,1,10,0.9979992893942086,0.006306123733520508,202
75,gini,10,log2,2,2,1.0,0.005096149444580078,1
76,gini,10,log2,2,5,0.9987692307692309,0.005640840530395508,179
77,gini,10,log2,2,10,0.9983073370047965,0.006485748291015625,193
78,gini,10,log2,5,2,1.0,0.007860088348388672,1
79,gini,10,log2,5,5,0.99846142002724,0.006993913650512695,187
80,gini,10,log2,5,10,0.9978457985432581,0.007179546356201172,207
81,gini,15,,1,2,1.0,0.008885812759399415,1
82,gini,15,,1,5,1.0,0.02084193229675293,1
83,gini,15,,1,10,1.0,0.015830516815185547,1
84,gini,15,,2,2,1.0,0.008556318283081055,1
85,gini,15,,2,5,1.0,0.01049666404724121,1
86,gini,15,,2,10,1.0,0.010865163803100587,1
87,gini,15,,5,2,0.9990765677740274,0.016168785095214844,149
88,gini,15,,5,5,0.9990765677740274,0.01164560317993164,149
89,gini,15,,5,10,0.9990765677740274,0.011953401565551757,149
90,gini,15,sqrt,1,2,1.0,0.006865262985229492,1
91,gini,15,sqrt,1,5,1.0,0.006433963775634766,1
92,gini,15,sqrt,1,10,1.0,0.006540107727050781,1
93,gini,15,sqrt,2,2,1.0,0.005634784698486328,1
94,gini,15,sqrt,2,5,1.0,0.006748056411743164,1
95,gini,15,sqrt,2,10,0.9996923076923077,0.007349634170532226,128
96,gini,15,sqrt,5,2,0.9989227216201811,0.0057847023010253905,176
97,gini,15,sqrt,5,5,0.9998461538461537,0.009804630279541015,126
98,gini,15,sqrt,5,10,1.0,0.009055757522583007,1
99,gini,15,log2,1,2,1.0,0.010349130630493164,1
100,gini,15,log2,1,5,1.0,0.011823415756225586,1
101,gini,15,log2,1,10,1.0,0.009349632263183593,1
102,gini,15,log2,2,2,1.0,0.0173858642578125,1
103,gini,15,log2,2,5,1.0,0.00878901481628418,1
104,gini,15,log2,2,10,1.0,0.010775470733642578,1
105,gini,15,log2,5,2,0.9987687570320365,0.012151288986206054,181
106,gini,15,log2,5,5,0.9979992893942086,0.006213474273681641,202
107,gini,15,log2,5,10,1.0,0.006917142868041992,1
108,gini,20,,1,2,1.0,0.012828207015991211,1
109,gini,20,,1,5,1.0,0.009034490585327149,1
110,gini,20,,1,10,1.0,0.00917677879333496,1
111,gini,20,,2,2,1.0,0.022819900512695314,1
112,gini,20,,2,5,1.0,0.009659385681152344,1
