,param_n_neighbors,param_p,param_weights,mean_test_score,mean_fit_time,rank_test_score
0,3,1,uniform,1.0,0.04514188766479492,1
1,3,1,distance,1.0,0.034629106521606445,1
2,3,2,uniform,1.0,0.027489328384399415,1
3,3,2,distance,1.0,0.03785696029663086,1
4,4,1,uniform,1.0,0.026828670501708986,1
5,4,1,distance,1.0,0.030976200103759767,1
6,4,2,uniform,1.0,0.022270393371582032,1
7,4,2,distance,1.0,0.022622203826904295,1
8,5,1,uniform,1.0,0.043631124496459964,1
9,5,1,distance,1.0,0.04801583290100098,1
10,5,2,uniform,0.9995384615384616,0.02088766098022461,42
11,5,2,distance,1.0,0.033662271499633786,1
12,6,1,uniform,0.9993846153846153,0.04242043495178223,43
13,6,1,distance,1.0,0.023586320877075195,1
14,6,2,uniform,0.9989230769230769,0.032993316650390625,45
15,6,2,distance,1.0,0.043678903579711915,1
16,7,1,uniform,0.9990769230769232,0.06821355819702149,44
17,7,1,distance,1.0,0.03948502540588379,1
18,7,2,uniform,0.9986153846153847,0.04996886253356934,47
19,7,2,distance,1.0,0.06787643432617188,1
20,8,1,uniform,0.9989227216201811,0.06718993186950684,46
21,8,1,distance,1.0,0.06018743515014648,1
22,8,2,uniform,0.9986153846153847,0.06520485877990723,47
23,8,2,distance,1.0,0.06544351577758789,1
24,9,1,uniform,0.9986149108781903,0.056348323822021484,49
25,9,1,distance,1.0,0.0518341064453125,1
26,9,2,uniform,0.9963074554390952,0.057902956008911134,61
27,9,2,distance,1.0,0.05789403915405274,1
28,10,1,uniform,0.9981534908509504,0.06288018226623535,50
29,10,1,distance,1.0,0.057093572616577146,1
30,10,2,uniform,0.9963074554390952,0.04897465705871582,61
31,10,2,distance,1.0,0.06746277809143067,1
32,11,1,uniform,0.9981534908509504,0.06404585838317871,50
33,11,1,distance,1.0,0.040425682067871095,1
34,11,2,uniform,0.995999407828507,0.054368019104003906,64
35,11,2,distance,1.0,0.06084074974060059,1
36,12,1,uniform,0.9981534908509504,0.05609726905822754,50
37,12,1,distance,1.0,0.06355714797973633,1
38,12,2,uniform,0.9955378693669686,0.0657731533050537,66
39,12,2,distance,1.0,0.05481419563293457,1
40,13,1,uniform,0.9978457985432581,0.06323189735412597,53
41,13,1,distance,1.0,0.06728577613830566,1
42,13,2,uniform,0.9947685201634394,0.059639263153076175,71
43,13,2,distance,1.0,0.07826166152954102,1
44,14,1,uniform,0.9978457985432581,0.05982451438903809,53
45,14,1,distance,1.0,0.07126393318176269,1
46,14,2,uniform,0.9947685201634394,0.06025476455688476,71
47,14,2,distance,1.0,0.06242790222167969,1
48,15,1,uniform,0.9978457985432581,0.06730670928955078,53
49,15,1,distance,1.0,0.05529356002807617,1
50,15,2,uniform,0.9955377509326702,0.07591910362243652,67
51,15,2,distance,1.0,0.07164058685302735,1
52,16,1,uniform,0.9978457985432581,0.058553647994995114,53
53,16,1,distance,1.0,0.09148430824279785,1
54,16,2,uniform,0.9950762124711318,0.09312729835510254,69
55,16,2,distance,1.0,0.060848045349121097,1
56,17,1,uniform,0.997691952389412,0.07389521598815918,57
57,17,1,distance,1.0,0.06935949325561523,1
58,17,2,uniform,0.9949222478829871,0.03291511535644531,70
59,17,2,distance,1.0,0.02728104591369629,1
60,18,1,uniform,0.9975381062355659,0.026041412353515626,58
61,18,1,distance,1.0,0.026510190963745118,1
62,18,2,uniform,0.9959995262628057,0.025035810470581055,63
63,18,2,distance,1.0,0.029819202423095704,1
64,19,1,uniform,0.9972302954935749,0.025167083740234374,60
65,19,1,distance,1.0,0.02260417938232422,1
66,19,2,uniform,0.9955377509326702,0.022557830810546874,67
67,19,2,distance,1.0,0.02620973587036133,1
68,20,1,uniform,0.9975381062355659,0.026674461364746094,58
69,20,1,distance,1.0,0.025157451629638672,1
70,20,2,uniform,0.9956915970865163,0.021628475189208983,65
71,20,2,distance,1.0,0.024984025955200197,1
