,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,,sqrt,1,2,10,1.0,0.061197662353515626,1
1,,sqrt,1,2,25,1.0,0.15199742317199708,1
2,,sqrt,1,2,50,1.0,0.23741846084594725,1
3,,sqrt,1,2,100,1.0,0.5206311702728271,1
4,,sqrt,1,2,150,1.0,0.6973994731903076,1
5,,sqrt,1,2,200,1.0,0.945692777633667,1
6,,sqrt,1,5,10,1.0,0.044266462326049805,1
7,,sqrt,1,5,25,1.0,0.10146484375,1
8,,sqrt,1,5,50,1.0,0.24014105796813964,1
9,,sqrt,1,5,100,1.0,0.41541256904602053,1
10,,sqrt,1,5,150,1.0,0.7284963130950928,1
11,,sqrt,1,5,200,1.0,1.0294044017791748,1
12,,sqrt,1,10,10,1.0,0.04465336799621582,1
13,,sqrt,1,10,25,1.0,0.10006771087646485,1
14,,sqrt,1,10,50,1.0,0.24346661567687988,1
15,,sqrt,1,10,100,1.0,0.4285464286804199,1
16,,sqrt,1,10,150,1.0,0.6663692474365235,1
17,,sqrt,1,10,200,1.0,0.7992020606994629,1
18,,sqrt,2,2,10,1.0,0.06233377456665039,1
19,,sqrt,2,2,25,1.0,0.14024138450622559,1
20,,sqrt,2,2,50,1.0,0.26055455207824707,1
21,,sqrt,2,2,100,1.0,0.5220837593078613,1
22,,sqrt,2,2,150,1.0,0.7067037582397461,1
23,,sqrt,2,2,200,1.0,0.9545494556427002,1
24,,sqrt,2,5,10,1.0,0.04622774124145508,1
25,,sqrt,2,5,25,1.0,0.1100430965423584,1
26,,sqrt,2,5,50,1.0,0.2098702907562256,1
27,,sqrt,2,5,100,1.0,0.48763275146484375,1
28,,sqrt,2,5,150,1.0,0.6608127117156982,1
29,,sqrt,2,5,200,1.0,1.0611313343048097,1
30,,sqrt,2,10,10,1.0,0.04501090049743652,1
31,,sqrt,2,10,25,1.0,0.11991343498229981,1
32,,sqrt,2,10,50,1.0,0.2729352474212646,1
33,,sqrt,2,10,100,1.0,0.47536721229553225,1
34,,sqrt,2,10,150,1.0,0.7207014083862304,1
35,,sqrt,2,10,200,1.0,0.9449327945709228,1
36,,sqrt,4,2,10,1.0,0.04290680885314942,1
37,,sqrt,4,2,25,1.0,0.14711790084838866,1
38,,sqrt,4,2,50,1.0,0.27495508193969725,1
39,,sqrt,4,2,100,1.0,0.575683879852295,1
40,,sqrt,4,2,150,1.0,0.8295359134674072,1
41,,sqrt,4,2,200,1.0,0.9805716037750244,1
42,,sqrt,4,5,10,1.0,0.04671268463134766,1
43,,sqrt,4,5,25,1.0,0.12615499496459961,1
44,,sqrt,4,5,50,1.0,0.23088746070861815,1
45,,sqrt,4,5,100,1.0,0.40920186042785645,1
46,,sqrt,4,5,150,1.0,0.6621238708496093,1
47,,sqrt,4,5,200,1.0,0.8542771339416504,1
48,,sqrt,4,10,10,1.0,0.04741888046264649,1
49,,sqrt,4,10,25,0.9993846153846153,0.10902705192565917,473
50,,sqrt,4,10,50,1.0,0.20685796737670897,1
51,,sqrt,4,10,100,1.0,0.47382564544677735,1
52,,sqrt,4,10,150,1.0,0.6248391628265381,1
53,,sqrt,4,10,200,1.0,0.9504661560058594,1
54,,log2,1,2,10,1.0,0.04832930564880371,1
55,,log2,1,2,25,1.0,0.10483384132385254,1
56,,log2,1,2,50,1.0,0.2006446361541748,1
57,,log2,1,2,100,1.0,0.4868312358856201,1
58,,log2,1,2,150,1.0,0.6166959285736084,1
59,,log2,1,2,200,1.0,0.8955885887145996,1
