,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
97,,log2,4,5,25,1.0,0.6989461421966553,1
98,,log2,4,5,50,1.0,1.2304693698883056,1
99,,log2,4,5,100,1.0,1.833101177215576,1
100,,log2,4,5,150,1.0,2.4740762233734133,1
101,,log2,4,5,200,1.0,3.5489480972290037,1
102,,log2,4,10,10,0.9993846153846153,0.15464916229248046,479
103,,log2,4,10,25,1.0,0.8149298191070556,1
104,,log2,4,10,50,1.0,0.7454824447631836,1
105,,log2,4,10,100,1.0,1.5721792697906494,1
106,,log2,4,10,150,1.0,2.304248237609863,1
107,,log2,4,10,200,1.0,4.1845073223114015,1
108,,,1,2,10,1.0,0.38159642219543455,1
109,,,1,2,25,1.0,0.5992475032806397,1
110,,,1,2,50,1.0,2.0030524730682373,1
111,,,1,2,100,1.0,3.86403341293335,1
112,,,1,2,150,1.0,5.2866724014282225,1
113,,,1,2,200,1.0,7.117442464828491,1
114,,,1,5,10,1.0,0.20007362365722656,1
115,,,1,5,25,1.0,0.7923599243164062,1
116,,,1,5,50,1.0,1.6476712703704834,1
117,,,1,5,100,1.0,3.8347779750823974,1
118,,,1,5,150,1.0,6.358450078964234,1
119,,,1,5,200,1.0,6.983516120910645,1
120,,,1,10,10,0.9995381062355658,0.3085640430450439,468
121,,,1,10,25,1.0,0.7795515060424805,1
122,,,1,10,50,0.9995381062355658,1.7220306396484375,468
123,,,1,10,100,1.0,4.570269632339477,1
124,,,1,10,150,1.0,7.156937837600708,1
125,,,1,10,200,1.0,9.095272779464722,1
126,,,2,2,10,1.0,0.3398886680603027,1
127,,,2,2,25,1.0,1.2003164291381836,1
128,,,2,2,50,1.0,1.650019884109497,1
129,,,2,2,100,1.0,3.39038028717041,1
130,,,2,2,150,1.0,5.368546199798584,1
131,,,2,2,200,1.0,6.070963335037232,1
132,,,2,5,10,1.0,0.31705560684204104,1
133,,,2,5,25,1.0,0.6034535884857177,1
134,,,2,5,50,1.0,1.1203142642974853,1
135,,,2,5,100,1.0,2.3731925964355467,1
136,,,2,5,150,1.0,4.085032272338867,1
137,,,2,5,200,1.0,5.440831041336059,1
138,,,2,10,10,0.9995381062355658,0.4650588512420654,468
139,,,2,10,25,1.0,0.9584965229034423,1
140,,,2,10,50,0.9995381062355658,1.6274637699127197,468
141,,,2,10,100,1.0,2.8881783962249754,1
142,,,2,10,150,1.0,4.383135747909546,1
143,,,2,10,200,1.0,5.505323266983032,1
144,,,4,2,10,1.0,0.27401418685913087,1
145,,,4,2,25,1.0,0.6659163951873779,1
146,,,4,2,50,1.0,1.339663553237915,1
147,,,4,2,100,1.0,2.6607657432556153,1
148,,,4,2,150,1.0,4.185256481170654,1
149,,,4,2,200,1.0,5.0841124057769775,1
150,,,4,5,10,1.0,0.2777139663696289,1
151,,,4,5,25,1.0,0.6564447402954101,1
152,,,4,5,50,1.0,1.1859752655029296,1
153,,,4,5,100,1.0,2.754954767227173,1
154,,,4,5,150,1.0,7.849490976333618,1
155,,,4,5,200,1.0,8.973066520690917,1
156,,,4,10,10,0.9995381062355658,0.3666241645812988,468
157,,,4,10,25,0.9995381062355658,1.4828287601470946,468
158,,,4,10,50,1.0,1.9028443813323974,1
159,,,4,10,100,1.0,4.5222804069519045,1
160,,,4,10,150,1.0,5.136600542068481,1
161,,,4,10,200,1.0,5.672959280014038,1
162,10,sqrt,1,2,10,1.0,0.1884636402130127,1
163,10,sqrt,1,2,25,1.0,0.4268366813659668,1
164,10,sqrt,1,2,50,1.0,0.7442233562469482,1
165,10,sqrt,1,2,100,1.0,1.5613523483276368,1
166,10,sqrt,1,2,150,1.0,2.265945386886597,1
167,10,sqrt,1,2,200,1.0,4.070046901702881,1
168,10,sqrt,1,5,10,1.0,0.2574643611907959,1
169,10,sqrt,1,5,25,1.0,0.4508476734161377,1
170,10,sqrt,1,5,50,1.0,0.7450754642486572,1
171,10,sqrt,1,5,100,1.0,1.5281128406524658,1
