,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,mean_test_score,mean_fit_time,rank_test_score
0,gini,,,1,2,0.9941531355480547,0.006550407409667969,1
1,gini,,,1,5,0.9941531355480547,0.0049536705017089845,1
2,gini,,,1,10,0.9941531355480547,0.004891061782836914,1
3,gini,,,2,2,0.9941531355480547,0.006674051284790039,1
4,gini,,,2,5,0.9941531355480547,0.005646610260009765,1
5,gini,,,2,10,0.9941531355480547,0.00551762580871582,1
6,gini,,,5,2,0.9936912417836204,0.005131673812866211,157
7,gini,,,5,5,0.9936912417836204,0.0062448978424072266,157
8,gini,,,5,10,0.9936912417836204,0.005193662643432617,157
9,gini,,sqrt,1,2,0.9941531355480547,0.01178598403930664,1
10,gini,,sqrt,1,5,0.9941531355480547,0.008098125457763672,1
11,gini,,sqrt,1,10,0.9941531355480547,0.005043315887451172,1
12,gini,,sqrt,2,2,0.9941531355480547,0.004658794403076172,1
13,gini,,sqrt,2,5,0.9941531355480547,0.006615924835205078,1
14,gini,,sqrt,2,10,0.9941531355480547,0.00843815803527832,1
15,gini,,sqrt,5,2,0.9936912417836204,0.0071619987487792965,157
16,gini,,sqrt,5,5,0.9936912417836204,0.004975700378417968,157
17,gini,,sqrt,5,10,0.9936912417836204,0.005781221389770508,157
18,gini,,log2,1,2,0.9941531355480547,0.00439748764038086,1
19,gini,,log2,1,5,0.9941531355480547,0.004711294174194336,1
20,gini,,log2,1,10,0.9941531355480547,0.00404047966003418,1
21,gini,,log2,2,2,0.9941531355480547,0.004394149780273438,1
22,gini,,log2,2,5,0.9941531355480547,0.0049323558807373045,1
23,gini,,log2,2,10,0.9941531355480547,0.00413970947265625,1
24,gini,,log2,5,2,0.9936912417836204,0.004684352874755859,157
25,gini,,log2,5,5,0.9936912417836204,0.013650035858154297,157
26,gini,,log2,5,10,0.9936912417836204,0.004254531860351562,157
27,gini,5,,1,2,0.9941531355480547,0.006077098846435547,1
28,gini,5,,1,5,0.9941531355480547,0.015562105178833007,1
29,gini,5,,1,10,0.9941531355480547,0.018694639205932617,1
