,param_learning_rate,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,0.8964466157399184,1.4337563991546631,16
1,0.01,100,0.9587625984485107,2.8019503593444823,15
2,0.01,150,0.9607627168828092,2.8507131576538085,13
3,0.01,200,0.9607627168828092,3.336774492263794,13
4,0.05,50,0.9669179842482383,0.8906705379486084,12
5,0.05,100,0.9810734884822644,1.7364134788513184,9
6,0.05,150,0.9806121868893232,2.50065541267395,10
7,0.05,200,0.9853824835672411,3.4338909149169923,7
8,0.1,50,0.9793811807899567,0.9858513832092285,11
9,0.1,100,0.9843050867531238,2.0261895656585693,8
10,0.1,150,0.9873830757387339,5.230564594268799,6
11,0.1,200,0.9933834310416298,6.745429801940918,5
12,1.0,50,1.0,1.2621720790863038,1
13,1.0,100,1.0,2.768750476837158,1
14,1.0,150,1.0,5.932177925109864,1
15,1.0,200,1.0,6.0309168815612795,1
