,param_n_neighbors,param_p,param_weights,mean_test_score,mean_fit_time,rank_test_score
0,3,1,uniform,1.0,0.019202518463134765,1
1,3,1,distance,1.0,0.014948368072509766,1
2,3,2,uniform,1.0,0.013034534454345704,1
3,3,2,distance,1.0,0.017630338668823242,1
4,4,1,uniform,1.0,0.012339067459106446,1
5,4,1,distance,1.0,0.011605453491210938,1
6,4,2,uniform,1.0,0.014937162399291992,1
7,4,2,distance,1.0,0.018291378021240236,1
8,5,1,uniform,1.0,0.015774059295654296,1
9,5,1,distance,1.0,0.01341090202331543,1
10,5,2,uniform,1.0,0.015457773208618164,1
11,5,2,distance,1.0,0.01863398551940918,1
12,6,1,uniform,0.9993846153846153,0.01611490249633789,43
13,6,1,distance,1.0,0.015976953506469726,1
14,6,2,uniform,0.9993846153846153,0.013607978820800781,43
15,6,2,distance,1.0,0.013482236862182617,1
16,7,1,uniform,0.9993846153846153,0.030054712295532228,43
17,7,1,distance,1.0,0.023465299606323244,1
18,7,2,uniform,0.9993846153846153,0.017400503158569336,43
19,7,2,distance,1.0,0.015786504745483397,1
20,8,1,uniform,0.9989227216201811,0.02258725166320801,47
21,8,1,distance,1.0,0.024134302139282228,1
22,8,2,uniform,0.9989227216201811,0.017041826248168947,47
23,8,2,distance,1.0,0.018190908432006835,1
24,9,1,uniform,0.9989227216201811,0.014055538177490234,47
25,9,1,distance,1.0,0.015508031845092774,1
26,9,2,uniform,0.9989227216201811,0.013308286666870117,47
27,9,2,distance,1.0,0.014268636703491211,1
28,10,1,uniform,0.9979996446971043,0.014826107025146484,51
29,10,1,distance,1.0,0.033469629287719724,1
30,10,2,uniform,0.9979996446971043,0.03110032081604004,51
31,10,2,distance,1.0,0.020937395095825196,1
32,11,1,uniform,0.9979996446971043,0.015023422241210938,51
33,11,1,distance,1.0,0.015082740783691406,1
34,11,2,uniform,0.9979996446971043,0.016772747039794922,51
35,11,2,distance,1.0,0.016864442825317384,1
36,12,1,uniform,0.9978457985432581,0.019255447387695312,55
37,12,1,distance,1.0,0.013991022109985351,1
38,12,2,uniform,0.9978457985432581,0.01598806381225586,55
39,12,2,distance,1.0,0.013434171676635742,1
40,13,1,uniform,0.9978457985432581,0.012201642990112305,55
41,13,1,distance,1.0,0.014313840866088867,1
42,13,2,uniform,0.9978457985432581,0.02419886589050293,55
43,13,2,distance,1.0,0.012827253341674805,1
44,14,1,uniform,0.9978457985432581,0.012015628814697265,55
45,14,1,distance,1.0,0.016257524490356445,1
46,14,2,uniform,0.9978457985432581,0.018394279479980468,55
47,14,2,distance,1.0,0.014221000671386718,1
48,15,1,uniform,0.9978457985432581,0.012192821502685547,55
49,15,1,distance,1.0,0.02012333869934082,1
50,15,2,uniform,0.9978457985432581,0.013444995880126953,55
51,15,2,distance,1.0,0.016156911849975586,1
52,16,1,uniform,0.9978457985432581,0.013945388793945312,55
53,16,1,distance,1.0,0.015929603576660158,1
54,16,2,uniform,0.9978457985432581,0.012024831771850587,55
55,16,2,distance,1.0,0.014810514450073243,1
56,17,1,uniform,0.9978457985432581,0.013954067230224609,55
57,17,1,distance,1.0,0.01316847801208496,1
58,17,2,uniform,0.9978457985432581,0.014768648147583007,55
59,17,2,distance,1.0,0.013777875900268554,1
60,18,1,uniform,0.9978457985432581,0.017883157730102538,55
61,18,1,distance,1.0,0.013362550735473632,1
62,18,2,uniform,0.9978457985432581,0.025658893585205077,55
63,18,2,distance,1.0,0.018656301498413085,1
64,19,1,uniform,0.9978457985432581,0.014866209030151368,55
65,19,1,distance,1.0,0.019283390045166014,1
66,19,2,uniform,0.9978457985432581,0.0166900634765625,55
67,19,2,distance,1.0,0.015083885192871094,1
68,20,1,uniform,0.9978457985432581,0.015270519256591796,55
69,20,1,distance,1.0,0.016888904571533202,1
70,20,2,uniform,0.9978457985432581,0.013185501098632812,55
71,20,2,distance,1.0,0.013901710510253906,1
