,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,l1,liblinear,0.8749031799609167,0.08366737365722657,1
1,0.01,50,l1,saga,0.8527450701723218,0.09351739883422852,461
2,0.01,50,l1,lbfgs,,0.004512119293212891,541
3,0.01,50,l1,newton-cg,,0.006539058685302734,541
4,0.01,50,l2,liblinear,0.8644416414993783,0.03331799507141113,11
5,0.01,50,l2,saga,0.852283650145082,0.08258242607116699,494
6,0.01,50,l2,lbfgs,0.852283650145082,0.08143482208251954,494
7,0.01,50,l2,newton-cg,0.852283650145082,0.059803342819213866,494
8,0.01,50,elasticnet,liblinear,,0.0036359310150146486,541
9,0.01,50,elasticnet,saga,,0.0037699222564697267,541
10,0.01,50,elasticnet,lbfgs,,0.004018592834472656,541
11,0.01,50,elasticnet,newton-cg,,0.004025888442993164,541
12,0.01,50,,liblinear,,0.005197954177856445,541
13,0.01,50,,saga,0.8609008112749452,0.0948904037475586,21
14,0.01,50,,lbfgs,0.8609008112749452,0.06381134986877442,21
15,0.01,50,,newton-cg,0.8609008112749452,0.09129209518432617,21
16,0.01,100,l1,liblinear,0.8749031799609167,0.06761517524719238,1
17,0.01,100,l1,saga,0.8527450701723218,0.0865096092224121,461
18,0.01,100,l1,lbfgs,,0.0054495811462402345,541
19,0.01,100,l1,newton-cg,,0.004576206207275391,541
20,0.01,100,l2,liblinear,0.8644416414993783,0.047790908813476564,11
21,0.01,100,l2,saga,0.852283650145082,0.05585765838623047,494
22,0.01,100,l2,lbfgs,0.852283650145082,0.0487785816192627,494
23,0.01,100,l2,newton-cg,0.852283650145082,0.04274868965148926,494
24,0.01,100,elasticnet,liblinear,,0.006448507308959961,541
25,0.01,100,elasticnet,saga,,0.007537412643432617,541
26,0.01,100,elasticnet,lbfgs,,0.004953336715698242,541
27,0.01,100,elasticnet,newton-cg,,0.008384180068969727,541
28,0.01,100,,liblinear,,0.006432533264160156,541
29,0.01,100,,saga,0.8609008112749452,0.09271302223205566,21
30,0.01,100,,lbfgs,0.8609008112749452,0.08382296562194824,21
31,0.01,100,,newton-cg,0.8609008112749452,0.0993502140045166,21
32,0.01,150,l1,liblinear,0.8749031799609167,0.04750490188598633,1
33,0.01,150,l1,saga,0.8522835317107834,0.09169254302978516,534
34,0.01,150,l1,lbfgs,,0.007067584991455078,541
35,0.01,150,l1,newton-cg,,0.00789947509765625,541
36,0.01,150,l2,liblinear,0.8644416414993783,0.04713878631591797,11
37,0.01,150,l2,saga,0.852283650145082,0.05279803276062012,494
38,0.01,150,l2,lbfgs,0.852283650145082,0.0688936710357666,494
39,0.01,150,l2,newton-cg,0.852283650145082,0.08382153511047363,494
40,0.01,150,elasticnet,liblinear,,0.0030130863189697264,541
41,0.01,150,elasticnet,saga,,0.0032457351684570313,541
42,0.01,150,elasticnet,lbfgs,,0.004554271697998047,541
43,0.01,150,elasticnet,newton-cg,,0.007265043258666992,541
44,0.01,150,,liblinear,,0.008661651611328125,541
45,0.01,150,,saga,0.8609008112749452,0.2030777931213379,21
46,0.01,150,,lbfgs,0.8609008112749452,0.07983055114746093,21
47,0.01,150,,newton-cg,0.8609008112749452,0.048193168640136716,21
48,0.01,200,l1,liblinear,0.8749031799609167,0.07782998085021972,1
49,0.01,200,l1,saga,0.8522835317107834,0.055334949493408205,534
50,0.01,200,l1,lbfgs,,0.003890705108642578,541
51,0.01,200,l1,newton-cg,,0.003956747055053711,541
52,0.01,200,l2,liblinear,0.8644416414993783,0.027527904510498045,11
53,0.01,200,l2,saga,0.852283650145082,0.054615354537963866,494
54,0.01,200,l2,lbfgs,0.852283650145082,0.04487590789794922,494
55,0.01,200,l2,newton-cg,0.852283650145082,0.03837242126464844,494
56,0.01,200,elasticnet,liblinear,,0.0031980037689208984,541
57,0.01,200,elasticnet,saga,,0.003065204620361328,541
58,0.01,200,elasticnet,lbfgs,,0.0028468608856201173,541
59,0.01,200,elasticnet,newton-cg,,0.002838897705078125,541
60,0.01,200,,liblinear,,0.005328845977783203,541
61,0.01,200,,saga,0.8609008112749452,0.09824957847595214,21
62,0.01,200,,lbfgs,0.8609008112749452,0.10503163337707519,21
63,0.01,200,,newton-cg,0.8609008112749452,0.12235431671142578,21
64,0.01,250,l1,liblinear,0.8749031799609167,0.1017423152923584,1
65,0.01,250,l1,saga,0.8522835317107834,0.14842677116394043,534
66,0.01,250,l1,lbfgs,,0.004182100296020508,541
67,0.01,250,l1,newton-cg,,0.004008436203002929,541
68,0.01,250,l2,liblinear,0.8644416414993783,0.04320855140686035,11
69,0.01,250,l2,saga,0.852283650145082,0.078887939453125,494
70,0.01,250,l2,lbfgs,0.852283650145082,0.05564174652099609,494
71,0.01,250,l2,newton-cg,0.852283650145082,0.045882034301757815,494
72,0.01,250,elasticnet,liblinear,,0.005026960372924804,541
73,0.01,250,elasticnet,saga,,0.008312129974365234,541
74,0.01,250,elasticnet,lbfgs,,0.0046978950500488285,541
75,0.01,250,elasticnet,newton-cg,,0.006251382827758789,541
76,0.01,250,,liblinear,,0.007078981399536133,541
77,0.01,250,,saga,0.8609008112749452,0.09185738563537597,21
78,0.01,250,,lbfgs,0.8609008112749452,0.10715880393981933,21
79,0.01,250,,newton-cg,0.8609008112749452,0.06926279067993164,21
80,0.01,300,l1,liblinear,0.8749031799609167,0.044711637496948245,1
81,0.01,300,l1,saga,0.8527450701723218,0.062447118759155276,461
82,0.01,300,l1,lbfgs,,0.003351736068725586,541
83,0.01,300,l1,newton-cg,,0.005040884017944336,541
84,0.01,300,l2,liblinear,0.8644416414993783,0.04747419357299805,11
85,0.01,300,l2,saga,0.852283650145082,0.09904184341430664,494
86,0.01,300,l2,lbfgs,0.852283650145082,0.04542717933654785,494
87,0.01,300,l2,newton-cg,0.852283650145082,0.043244123458862305,494
88,0.01,300,elasticnet,liblinear,,0.005126237869262695,541
89,0.01,300,elasticnet,saga,,0.004558849334716797,541
90,0.01,300,elasticnet,lbfgs,,0.0034595012664794924,541
91,0.01,300,elasticnet,newton-cg,,0.011442041397094727,541
92,0.01,300,,liblinear,,0.007401943206787109,541
93,0.01,300,,saga,0.8609008112749452,0.09210333824157715,21
94,0.01,300,,lbfgs,0.8609008112749452,0.05307135581970215,21
95,0.01,300,,newton-cg,0.8609008112749452,0.05053048133850098,21
96,0.01,250,l1,liblinear,0.8749031799609167,0.08460311889648438,1
97,0.01,250,l1,saga,0.8522835317107834,0.09745025634765625,534
98,0.01,250,l1,lbfgs,,0.010986518859863282,541
99,0.01,250,l1,newton-cg,,0.013720512390136719,541
100,0.01,250,l2,liblinear,0.8644416414993783,0.05570650100708008,11
101,0.01,250,l2,saga,0.852283650145082,0.05221047401428223,494
102,0.01,250,l2,lbfgs,0.852283650145082,0.08530340194702149,494
103,0.01,250,l2,newton-cg,0.852283650145082,0.04987730979919434,494
104,0.01,250,elasticnet,liblinear,,0.0032401084899902344,541
105,0.01,250,elasticnet,saga,,0.007759618759155274,541
106,0.01,250,elasticnet,lbfgs,,0.006524991989135742,541
107,0.01,250,elasticnet,newton-cg,,0.003221607208251953,541
108,0.01,250,,liblinear,,0.005484819412231445,541
109,0.01,250,,saga,0.8609008112749452,0.20497455596923828,21
110,0.01,250,,lbfgs,0.8609008112749452,0.07683320045471191,21
111,0.01,250,,newton-cg,0.8609008112749452,0.054608917236328124,21
112,0.01,400,l1,liblinear,0.8749031799609167,0.04457621574401856,1
113,0.01,400,l1,saga,0.8527450701723218,0.10314841270446777,461
114,0.01,400,l1,lbfgs,,0.009636688232421874,541
115,0.01,400,l1,newton-cg,,0.007872772216796876,541
116,0.01,400,l2,liblinear,0.8644416414993783,0.05444498062133789,11
117,0.01,400,l2,saga,0.852283650145082,0.13362717628479004,494
118,0.01,400,l2,lbfgs,0.852283650145082,0.08961300849914551,494
119,0.01,400,l2,newton-cg,0.852283650145082,0.04301128387451172,494
120,0.01,400,elasticnet,liblinear,,0.003869152069091797,541
121,0.01,400,elasticnet,saga,,0.005725955963134766,541
122,0.01,400,elasticnet,lbfgs,,0.004545879364013672,541
123,0.01,400,elasticnet,newton-cg,,0.0047458171844482425,541
124,0.01,400,,liblinear,,0.003869771957397461,541
125,0.01,400,,saga,0.8609008112749452,0.10710406303405762,21
126,0.01,400,,lbfgs,0.8609008112749452,0.13932423591613768,21
127,0.01,400,,newton-cg,0.8609008112749452,0.1359790325164795,21
128,0.01,450,l1,liblinear,0.8749031799609167,0.13942456245422363,1
129,0.01,450,l1,saga,0.8522835317107834,0.07548155784606933,534
130,0.01,450,l1,lbfgs,,0.0044400691986083984,541
131,0.01,450,l1,newton-cg,,0.0038784027099609377,541
132,0.01,450,l2,liblinear,0.8644416414993783,0.03435955047607422,11
133,0.01,450,l2,saga,0.852283650145082,0.06641020774841308,494
134,0.01,450,l2,lbfgs,0.852283650145082,0.05823216438293457,494
135,0.01,450,l2,newton-cg,0.852283650145082,0.05256896018981934,494
136,0.01,450,elasticnet,liblinear,,0.005237674713134766,541
137,0.01,450,elasticnet,saga,,0.0049957275390625,541
138,0.01,450,elasticnet,lbfgs,,0.004526281356811523,541
139,0.01,450,elasticnet,newton-cg,,0.00444498062133789,541
140,0.01,450,,liblinear,,0.008994388580322265,541
141,0.01,450,,saga,0.8609008112749452,0.11435527801513672,21
142,0.01,450,,lbfgs,0.8609008112749452,0.08781967163085938,21
143,0.01,450,,newton-cg,0.8609008112749452,0.09018373489379883,21
