,param_learning_rate,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,0.8964466157399184,0.33855104446411133,28
1,0.01,75,0.9264502872031741,0.5563034057617188,27
2,0.01,100,0.9587625984485107,0.8166951656341552,26
3,0.01,125,0.9607627168828092,1.0855459690093994,22
4,0.01,150,0.9607627168828092,1.313101625442505,22
5,0.01,175,0.9607627168828092,1.552553081512451,22
6,0.01,200,0.9607627168828092,1.6212763786315918,22
7,0.05,50,0.9669179842482383,0.4640028953552246,21
8,0.05,75,0.9750727778764731,0.6622361183166504,20
9,0.05,100,0.9793811807899567,0.8355802059173584,19
10,0.05,125,0.9806121868893232,1.1477546215057373,13
11,0.05,150,0.9806121868893232,1.3890925407409669,13
12,0.05,175,0.9806121868893232,1.5701427459716797,13
13,0.05,200,0.9806121868893232,1.9208769798278809,13
14,0.1,50,0.9806121868893232,0.594922399520874,13
15,0.1,75,0.9806121868893232,0.6590255260467529,13
16,0.1,100,0.9819968022739385,0.8840155124664306,12
17,0.1,125,0.9853824835672411,1.2528916835784911,11
18,0.1,150,0.9863055604903181,1.5876060009002686,10
19,0.1,175,0.9879985787884171,1.6613325119018554,9
20,0.1,200,0.9923066263990051,2.0705262660980224,8
21,1.0,50,1.0,0.47789807319641114,1
22,1.0,75,1.0,0.7103317260742188,1
23,1.0,100,1.0,0.949681568145752,1
24,1.0,125,1.0,1.1915958404541016,1
25,1.0,150,1.0,1.4439551830291748,1
26,1.0,175,1.0,1.6644031047821044,1
27,1.0,200,1.0,1.7546109676361084,1
