,param_C,param_degree,param_gamma,param_kernel,mean_test_score,mean_fit_time,rank_test_score
0,0.1,2,scale,linear,0.9082945461005508,1.5734691143035888,49
1,0.1,2,scale,rbf,0.9696875703203647,0.7544141292572022,23
2,0.1,2,scale,poly,0.9587628353171078,0.7829551696777344,32
3,0.1,2,scale,sigmoid,0.48225108071297446,1.7742023468017578,58
4,0.1,2,auto,linear,0.9082945461005508,1.7760912895202636,49
5,0.1,2,auto,rbf,0.9943066263990051,0.2758058547973633,1
6,0.1,2,auto,poly,0.9619944335879669,2.0370089530944826,29
7,0.1,2,auto,sigmoid,0.37852063717652634,3.9008663177490233,67
8,0.1,3,scale,linear,0.9082945461005508,1.4179167747497559,49
9,0.1,3,scale,rbf,0.9696875703203647,0.8685201644897461,23
10,0.1,3,scale,poly,0.9490689879789187,0.7953155994415283,36
11,0.1,3,scale,sigmoid,0.48225108071297446,2.095432090759277,58
12,0.1,3,auto,linear,0.9082945461005508,1.471282434463501,49
13,0.1,3,auto,rbf,0.9943066263990051,0.24367079734802247,1
14,0.1,3,auto,poly,0.969687807188962,45.22981586456299,22
15,0.1,3,auto,sigmoid,0.37852063717652634,3.937139701843262,67
16,0.1,4,scale,linear,0.9082945461005508,1.5556811809539794,49
17,0.1,4,scale,rbf,0.9696875703203647,0.7641096115112305,23
18,0.1,4,scale,poly,0.9603020074613609,1.1076699256896974,30
19,0.1,4,scale,sigmoid,0.48225108071297446,1.9777180671691894,58
20,0.1,4,auto,linear,0.9082945461005508,1.532410192489624,49
21,0.1,4,auto,rbf,0.9943066263990051,0.25235838890075685,1
22,0.1,4,auto,poly,0.9941531355480547,7.8481776237487795,4
23,0.1,4,auto,sigmoid,0.37852063717652634,4.4643970966339115,67
24,1.0,2,scale,linear,0.9226070942144844,2.444433832168579,43
25,1.0,2,scale,rbf,0.9784579854325812,0.3255937099456787,19
26,1.0,2,scale,poly,0.9495298158346659,1.474303674697876,34
27,1.0,2,scale,sigmoid,0.4604058743412092,2.076635646820068,61
28,1.0,2,auto,linear,0.9226070942144844,2.501345634460449,43
29,1.0,2,auto,rbf,0.9941531355480547,0.10820951461791992,4
30,1.0,2,auto,poly,0.9495298158346657,12.248912715911866,35
31,1.0,2,auto,sigmoid,0.3597531829217741,2.5591328144073486,70
32,1.0,3,scale,linear,0.9226070942144844,2.652593803405762,43
33,1.0,3,scale,rbf,0.9784579854325812,0.28455939292907717,19
34,1.0,3,scale,poly,0.9603020074613609,1.1100025177001953,30
35,1.0,3,scale,sigmoid,0.4604058743412092,1.8783533096313476,61
36,1.0,3,auto,linear,0.9226070942144844,3.084567594528198,43
37,1.0,3,auto,rbf,0.9941531355480547,0.09064393043518067,4
38,1.0,3,auto,poly,0.9819975128797299,41.581877851486205,17
39,1.0,3,auto,sigmoid,0.3597531829217741,3.2999657154083253,70
40,1.0,4,scale,linear,0.9226070942144844,2.7956865787506104,43
41,1.0,4,scale,rbf,0.9784579854325812,0.3062419414520264,19
42,1.0,4,scale,poly,0.968457511695387,2.45904655456543,27
43,1.0,4,scale,sigmoid,0.4604058743412092,1.7431354999542237,61
44,1.0,4,auto,linear,0.9226070942144844,3.242728757858276,43
45,1.0,4,auto,rbf,0.9941531355480547,0.09730558395385742,4
46,1.0,4,auto,poly,0.9941531355480547,8.773278141021729,4
47,1.0,4,auto,sigmoid,0.3597531829217741,3.095833683013916,70
48,10.0,2,scale,linear,0.9287609403683307,13.582077598571777,37
49,10.0,2,scale,rbf,0.9933835494759282,0.23456573486328125,13
50,10.0,2,scale,poly,0.957683661988512,4.843521976470948,33
51,10.0,2,scale,sigmoid,0.4604058743412092,1.9271466732025146,61
52,10.0,2,auto,linear,0.9287609403683307,15.859092950820923,37
53,10.0,2,auto,rbf,0.9941531355480547,0.05191612243652344,4
54,10.0,2,auto,poly,0.9664559720495056,137.6234407901764,28
55,10.0,2,auto,sigmoid,0.49211997394445434,2.2765671253204345,55
56,10.0,3,scale,linear,0.9287609403683307,14.188729190826416,37
57,10.0,3,scale,rbf,0.9933835494759282,0.22176156044006348,13
58,10.0,3,scale,poly,0.9692262687274233,57.84351811408997,26
59,10.0,3,scale,sigmoid,0.4604058743412092,2.026595640182495,61
60,10.0,3,auto,linear,0.9287609403683307,15.251386356353759,37
61,10.0,3,auto,rbf,0.9941531355480547,0.05768108367919922,4
62,10.0,3,auto,poly,0.9816898205720376,230.61113023757935,18
63,10.0,3,auto,sigmoid,0.49211997394445434,2.5933841705322265,55
64,10.0,4,scale,linear,0.9287609403683307,17.291442966461183,37
65,10.0,4,scale,rbf,0.9933835494759282,0.15886321067810058,13
66,10.0,4,scale,poly,0.9852289927162905,10.880158138275146,16
67,10.0,4,scale,sigmoid,0.4604058743412092,4.304077005386352,61
68,10.0,4,auto,linear,0.9287609403683307,19.584836769104005,37
69,10.0,4,auto,rbf,0.9941531355480547,0.06923208236694336,4
70,10.0,4,auto,poly,0.9941531355480547,13.612929534912109,4
71,10.0,4,auto,sigmoid,0.49211997394445434,3.1401471138000487,55
