,param_C,param_degree,param_gamma,param_kernel,mean_test_score,mean_fit_time,rank_test_score
0,0.1,2,scale,linear,0.9487611772369278,1.8357004642486572,48
1,0.1,2,scale,rbf,0.952454195535027,1.7638927936553954,39
2,0.1,2,scale,poly,0.943838100313851,1.6477785587310791,54
3,0.1,2,scale,sigmoid,0.4183714099603245,7.434750747680664,58
4,0.1,2,auto,linear,0.9487611772369278,2.0865125179290773,48
5,0.1,2,auto,rbf,0.995230295493575,1.3176788806915283,23
6,0.1,2,auto,poly,0.9932300586249779,0.9046039581298828,26
7,0.1,2,auto,sigmoid,0.5177720139752472,7.678519010543823,55
8,0.1,3,scale,linear,0.9487611772369278,1.7423925399780273,48
9,0.1,3,scale,rbf,0.952454195535027,1.4144964218139648,39
10,0.1,3,scale,poly,0.9652259134245277,1.174474048614502,32
11,0.1,3,scale,sigmoid,0.4183714099603245,7.621356248855591,58
12,0.1,3,auto,linear,0.9487611772369278,1.5273979663848878,48
13,0.1,3,auto,rbf,0.995230295493575,1.3449283599853517,23
14,0.1,3,auto,poly,1.0,0.7490302562713623,1
15,0.1,3,auto,sigmoid,0.5177720139752472,7.657149028778076,55
16,0.1,4,scale,linear,0.9487611772369278,2.0634689331054688,48
17,0.1,4,scale,rbf,0.952454195535027,1.5459688663482667,39
18,0.1,4,scale,poly,0.9916914786522177,0.9159421920776367,30
19,0.1,4,scale,sigmoid,0.4183714099603245,6.239376831054687,58
20,0.1,4,auto,linear,0.9487611772369278,2.4296124458312987,48
21,0.1,4,auto,rbf,0.995230295493575,1.1550796508789063,23
22,0.1,4,auto,poly,1.0,0.4438028335571289,1
23,0.1,4,auto,sigmoid,0.5177720139752472,7.916652679443359,55
24,1.0,2,scale,linear,0.9489147865221768,2.650976133346558,42
25,1.0,2,scale,rbf,0.9926146740095932,0.7455551147460937,27
26,1.0,2,scale,poly,0.9750737253508615,0.867914342880249,31
27,1.0,2,scale,sigmoid,0.41390726594421745,7.039321088790894,64
28,1.0,2,auto,linear,0.9489147865221768,3.100779819488525,42
29,1.0,2,auto,rbf,1.0,0.4585841178894043,1
30,1.0,2,auto,poly,1.0,0.8279222965240478,1
31,1.0,2,auto,sigmoid,0.301584650914905,8.890187549591065,67
32,1.0,3,scale,linear,0.9489147865221768,2.680990743637085,42
33,1.0,3,scale,rbf,0.9926146740095932,0.5649656295776367,27
34,1.0,3,scale,poly,0.9959997631314028,0.5598845481872559,22
35,1.0,3,scale,sigmoid,0.41390726594421745,7.389100980758667,64
36,1.0,3,auto,linear,0.9489147865221768,3.669288682937622,42
37,1.0,3,auto,rbf,1.0,0.4090747356414795,1
38,1.0,3,auto,poly,1.0,0.8651014804840088,1
39,1.0,3,auto,sigmoid,0.301584650914905,8.367834424972534,67
40,1.0,4,scale,linear,0.9489147865221768,3.672844409942627,42
41,1.0,4,scale,rbf,0.9926146740095932,0.7753042221069336,27
42,1.0,4,scale,poly,1.0,0.47194600105285645,1
43,1.0,4,scale,sigmoid,0.41390726594421745,7.325192499160766,64
44,1.0,4,auto,linear,0.9489147865221768,3.3653229236602784,42
45,1.0,4,auto,rbf,1.0,0.5265018939971924,1
46,1.0,4,auto,poly,1.0,0.41979026794433594,1
47,1.0,4,auto,sigmoid,0.301584650914905,8.4398118019104,67
48,10.0,2,scale,linear,0.9564545508379227,17.302358531951903,33
49,10.0,2,scale,rbf,1.0,0.3005845546722412,1
50,10.0,2,scale,poly,0.9969228400544796,0.9775886535644531,21
51,10.0,2,scale,sigmoid,0.41436904127435303,7.5902478218078615,61
52,10.0,2,auto,linear,0.9564545508379227,17.841862535476686,33
53,10.0,2,auto,rbf,1.0,0.4524819850921631,1
54,10.0,2,auto,poly,1.0,1.2760799407958985,1
55,10.0,2,auto,sigmoid,0.25803967549002194,7.323871374130249,70
56,10.0,3,scale,linear,0.9564545508379227,17.052957105636597,33
57,10.0,3,scale,rbf,1.0,0.5087439537048339,1
58,10.0,3,scale,poly,1.0,0.5530089378356934,1
59,10.0,3,scale,sigmoid,0.41436904127435303,7.030096578598022,61
60,10.0,3,auto,linear,0.9564545508379227,13.380186462402344,33
61,10.0,3,auto,rbf,1.0,0.4861000537872314,1
62,10.0,3,auto,poly,1.0,0.8926600933074951,1
63,10.0,3,auto,sigmoid,0.25803967549002194,3.807881212234497,70
64,10.0,4,scale,linear,0.9564545508379227,9.830596590042115,33
65,10.0,4,scale,rbf,1.0,0.16031222343444823,1
66,10.0,4,scale,poly,1.0,0.2119922161102295,1
67,10.0,4,scale,sigmoid,0.41436904127435303,4.72100248336792,61
68,10.0,4,auto,linear,0.9564545508379227,9.051552438735962,33
69,10.0,4,auto,rbf,1.0,0.4174802303314209,1
70,10.0,4,auto,poly,1.0,0.4202110290527344,1
71,10.0,4,auto,sigmoid,0.25803967549002194,4.053499364852906,70
