,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,l1,liblinear,0.9158320601646237,0.09523572921752929,491
1,0.01,50,l1,saga,0.9213718244803696,0.43392367362976075,481
2,0.01,50,l1,lbfgs,,0.004603004455566407,541
3,0.01,50,l1,newton-cg,,0.003994083404541016,541
4,0.01,50,l2,liblinear,0.9064468526085154,0.05716948509216309,521
5,0.01,50,l2,saga,0.9067550186534021,0.3132068634033203,501
6,0.01,50,l2,lbfgs,0.9062931248889677,0.11720070838928223,531
7,0.01,50,l2,newton-cg,0.9067550186534021,0.09097476005554199,501
8,0.01,50,elasticnet,liblinear,,0.0057795047760009766,541
9,0.01,50,elasticnet,saga,,0.012286710739135741,541
10,0.01,50,elasticnet,lbfgs,,0.005174016952514649,541
11,0.01,50,elasticnet,newton-cg,,0.0018288135528564454,541
12,0.01,50,,liblinear,,0.005513238906860352,541
13,0.01,50,,saga,0.946914786522177,0.32593560218811035,409
14,0.01,50,,lbfgs,0.9506076863859775,0.12847533226013183,339
15,0.01,50,,newton-cg,0.9532230710013622,0.16285924911499022,30
16,0.01,100,l1,liblinear,0.9158320601646237,0.0804675579071045,491
17,0.01,100,l1,saga,0.9213718244803696,0.48015151023864744,481
18,0.01,100,l1,lbfgs,,0.0032085895538330076,541
19,0.01,100,l1,newton-cg,,0.004147005081176758,541
20,0.01,100,l2,liblinear,0.9064468526085154,0.05140366554260254,521
21,0.01,100,l2,saga,0.9067550186534021,0.2907557010650635,501
22,0.01,100,l2,lbfgs,0.9062931248889677,0.10132279396057128,531
23,0.01,100,l2,newton-cg,0.9067550186534021,0.07561759948730469,501
24,0.01,100,elasticnet,liblinear,,0.004062271118164063,541
25,0.01,100,elasticnet,saga,,0.003685188293457031,541
26,0.01,100,elasticnet,lbfgs,,0.005373191833496094,541
27,0.01,100,elasticnet,newton-cg,,0.005399322509765625,541
28,0.01,100,,liblinear,,0.005131435394287109,541
29,0.01,100,,saga,0.9498382187481494,0.6897730350494384,346
30,0.01,100,,lbfgs,0.9529153786936696,0.21238307952880858,199
31,0.01,100,,newton-cg,0.9532230710013622,0.12981572151184081,30
32,0.01,150,l1,liblinear,0.9158320601646237,0.06181721687316895,491
33,0.01,150,l1,saga,0.9213718244803696,0.44961838722229003,481
34,0.01,150,l1,lbfgs,,0.0035209178924560545,541
35,0.01,150,l1,newton-cg,,0.0045796394348144535,541
36,0.01,150,l2,liblinear,0.9064468526085154,0.06013698577880859,521
37,0.01,150,l2,saga,0.9067550186534021,0.3366215229034424,501
38,0.01,150,l2,lbfgs,0.9062931248889677,0.08554182052612305,531
39,0.01,150,l2,newton-cg,0.9067550186534021,0.07723917961120605,501
40,0.01,150,elasticnet,liblinear,,0.005072021484375,541
41,0.01,150,elasticnet,saga,,0.004977607727050781,541
42,0.01,150,elasticnet,lbfgs,,0.005626773834228516,541
43,0.01,150,elasticnet,newton-cg,,0.0042873859405517575,541
44,0.01,150,,liblinear,,0.007575511932373047,541
45,0.01,150,,saga,0.9516844910286018,0.9311081886291503,313
46,0.01,150,,lbfgs,0.9530692248475159,0.24049844741821289,137
47,0.01,150,,newton-cg,0.9532230710013622,0.15237998962402344,30
48,0.01,200,l1,liblinear,0.9158320601646237,0.09310059547424317,491
49,0.01,200,l1,saga,0.9213718244803696,0.4601553440093994,481
50,0.01,200,l1,lbfgs,,0.0046291351318359375,541
51,0.01,200,l1,newton-cg,,0.00447535514831543,541
52,0.01,200,l2,liblinear,0.9064468526085154,0.054822349548339845,521
53,0.01,200,l2,saga,0.9067550186534021,0.2913355827331543,501
54,0.01,200,l2,lbfgs,0.9062931248889677,0.10440969467163086,531
55,0.01,200,l2,newton-cg,0.9067550186534021,0.06303057670593262,501
56,0.01,200,elasticnet,liblinear,,0.0032869815826416016,541
57,0.01,200,elasticnet,saga,,0.004933977127075195,541
58,0.01,200,elasticnet,lbfgs,,0.0038213729858398438,541
59,0.01,200,elasticnet,newton-cg,,0.004420280456542969,541
60,0.01,200,,liblinear,,0.004279232025146485,541
61,0.01,200,,saga,0.9526076863859775,0.9969607830047608,249
62,0.01,200,,lbfgs,0.9530692248475159,0.24777398109436036,137
63,0.01,200,,newton-cg,0.9532230710013622,0.15620932579040528,30
64,0.01,250,l1,liblinear,0.9158320601646237,0.07437958717346191,491
