,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,,sqrt,1,2,10,1.0,0.07747006416320801,1
1,,sqrt,1,2,25,1.0,0.18589863777160645,1
2,,sqrt,1,2,50,1.0,0.45368456840515137,1
3,,sqrt,1,2,100,1.0,0.9352089881896972,1
4,,sqrt,1,2,150,1.0,1.431807041168213,1
5,,sqrt,1,2,200,1.0,1.8809465408325194,1
6,,sqrt,1,5,10,1.0,0.10755839347839355,1
7,,sqrt,1,5,25,1.0,0.24438610076904296,1
8,,sqrt,1,5,50,1.0,0.45926651954650877,1
9,,sqrt,1,5,100,1.0,0.9045526504516601,1
10,,sqrt,1,5,150,1.0,1.5702126979827882,1
11,,sqrt,1,5,200,1.0,2.0323817253112795,1
12,,sqrt,1,10,10,1.0,0.14603142738342284,1
13,,sqrt,1,10,25,1.0,0.25562429428100586,1
14,,sqrt,1,10,50,1.0,0.5459418773651123,1
15,,sqrt,1,10,100,1.0,1.0223968982696534,1
16,,sqrt,1,10,150,1.0,1.4262340545654297,1
17,,sqrt,1,10,200,1.0,2.1756618499755858,1
18,,sqrt,2,2,10,1.0,0.10280418395996094,1
19,,sqrt,2,2,25,1.0,0.34885830879211427,1
20,,sqrt,2,2,50,1.0,0.49738588333129885,1
21,,sqrt,2,2,100,1.0,0.988407564163208,1
22,,sqrt,2,2,150,1.0,1.3676696300506592,1
23,,sqrt,2,2,200,1.0,2.061304140090942,1
24,,sqrt,2,5,10,1.0,0.11400728225708008,1
25,,sqrt,2,5,25,1.0,0.24871063232421875,1
26,,sqrt,2,5,50,1.0,0.4762176513671875,1
27,,sqrt,2,5,100,1.0,1.116838550567627,1
28,,sqrt,2,5,150,1.0,1.7499484062194823,1
29,,sqrt,2,5,200,1.0,2.0002660274505617,1
30,,sqrt,2,10,10,1.0,0.13139066696166993,1
31,,sqrt,2,10,25,1.0,0.23283562660217286,1
32,,sqrt,2,10,50,1.0,0.4460455894470215,1
33,,sqrt,2,10,100,1.0,0.8305087089538574,1
34,,sqrt,2,10,150,1.0,1.570129632949829,1
35,,sqrt,2,10,200,1.0,2.083267641067505,1
36,,sqrt,4,2,10,0.9996923076923077,0.11897177696228027,474
37,,sqrt,4,2,25,0.9996923076923077,0.25696849822998047,474
38,,sqrt,4,2,50,1.0,0.5189302444458008,1
39,,sqrt,4,2,100,1.0,1.0640432357788085,1
40,,sqrt,4,2,150,1.0,1.5520969390869142,1
41,,sqrt,4,2,200,1.0,2.1345213413238526,1
42,,sqrt,4,5,10,0.9995381062355658,0.14375686645507812,479
43,,sqrt,4,5,25,1.0,0.33594088554382323,1
44,,sqrt,4,5,50,1.0,0.5317357063293457,1
45,,sqrt,4,5,100,1.0,1.1748855113983154,1
46,,sqrt,4,5,150,1.0,1.6230966567993164,1
47,,sqrt,4,5,200,1.0,2.256479549407959,1
48,,sqrt,4,10,10,1.0,0.112615966796875,1
49,,sqrt,4,10,25,1.0,0.26796350479125974,1
50,,sqrt,4,10,50,1.0,0.5227696895599365,1
51,,sqrt,4,10,100,1.0,1.257753276824951,1
52,,sqrt,4,10,150,1.0,1.7381406784057618,1
53,,sqrt,4,10,200,1.0,2.1165481090545653,1
54,,log2,1,2,10,1.0,0.13925156593322754,1
55,,log2,1,2,25,1.0,0.27940959930419923,1
56,,log2,1,2,50,1.0,0.5167823791503906,1
57,,log2,1,2,100,1.0,1.0708120822906495,1
58,,log2,1,2,150,1.0,1.437392807006836,1
59,,log2,1,2,200,1.0,2.3244033813476563,1
60,,log2,1,5,10,1.0,0.0930811882019043,1
61,,log2,1,5,25,1.0,0.3395813465118408,1
62,,log2,1,5,50,1.0,0.5249881744384766,1
63,,log2,1,5,100,1.0,0.7537644863128662,1
64,,log2,1,5,150,1.0,1.1509454250335693,1
65,,log2,1,5,200,1.0,1.5034882068634032,1
66,,log2,1,10,10,1.0,0.08309664726257324,1
67,,log2,1,10,25,1.0,0.18270258903503417,1
68,,log2,1,10,50,1.0,0.37559685707092283,1
69,,log2,1,10,100,1.0,0.7677253246307373,1
70,,log2,1,10,150,1.0,1.1737124919891357,1
71,,log2,1,10,200,1.0,1.7138107299804688,1
72,,log2,2,2,10,1.0,0.09000496864318848,1
73,,log2,2,2,25,1.0,0.2582559585571289,1
74,,log2,2,2,50,1.0,0.4303764820098877,1
75,,log2,2,2,100,1.0,0.7879678249359131,1
76,,log2,2,2,150,1.0,1.2721396446228028,1
77,,log2,2,2,200,1.0,1.778402853012085,1
78,,log2,2,5,10,1.0,0.08875436782836914,1
79,,log2,2,5,25,1.0,0.23645777702331544,1
80,,log2,2,5,50,1.0,0.5050464630126953,1
81,,log2,2,5,100,1.0,1.3822453022003174,1
82,,log2,2,5,150,1.0,1.6726426124572753,1
83,,log2,2,5,200,1.0,2.000072479248047,1
84,,log2,2,10,10,1.0,0.1275416374206543,1
85,,log2,2,10,25,1.0,0.26315760612487793,1
86,,log2,2,10,50,1.0,0.47696075439453123,1
87,,log2,2,10,100,1.0,0.9512886047363281,1
88,,log2,2,10,150,1.0,1.5378092765808105,1
89,,log2,2,10,200,1.0,2.0449708461761475,1
90,,log2,4,2,10,1.0,0.10764141082763672,1
91,,log2,4,2,25,1.0,0.243369197845459,1
92,,log2,4,2,50,1.0,0.4550641059875488,1
93,,log2,4,2,100,1.0,1.126368761062622,1
94,,log2,4,2,150,1.0,1.6227393627166748,1
95,,log2,4,2,200,1.0,2.115179014205933,1
96,,log2,4,5,10,1.0,0.12823195457458497,1
97,,log2,4,5,25,1.0,0.2924022674560547,1
98,,log2,4,5,50,1.0,0.5652316093444825,1
99,,log2,4,5,100,1.0,1.1274085521697998,1
100,,log2,4,5,150,1.0,1.2634021759033203,1
101,,log2,4,5,200,1.0,1.418431043624878,1
102,,log2,4,10,10,1.0,0.07099933624267578,1
103,,log2,4,10,25,1.0,0.16074151992797853,1
104,,log2,4,10,50,1.0,0.3133060932159424,1
105,,log2,4,10,100,1.0,0.6447322845458985,1
106,,log2,4,10,150,1.0,0.993897533416748,1
107,,log2,4,10,200,1.0,1.275627565383911,1
108,,,1,2,10,1.0,0.09678740501403808,1
109,,,1,2,25,1.0,0.2336818218231201,1
110,,,1,2,50,1.0,0.5093446254730225,1
111,,,1,2,100,1.0,0.8571174621582032,1
112,,,1,2,150,1.0,1.258952808380127,1
113,,,1,2,200,1.0,1.7892257213592528,1
114,,,1,5,10,1.0,0.09597573280334473,1
115,,,1,5,25,1.0,0.19730691909790038,1
116,,,1,5,50,1.0,0.4247523307800293,1
117,,,1,5,100,1.0,0.9730550289154053,1
118,,,1,5,150,1.0,1.3573011398315429,1
119,,,1,5,200,1.0,2.213164234161377,1
120,,,1,10,10,1.0,0.15544819831848145,1
121,,,1,10,25,1.0,0.3025656223297119,1
122,,,1,10,50,1.0,0.4770063877105713,1
123,,,1,10,100,1.0,1.425067663192749,1
124,,,1,10,150,1.0,1.8333817005157471,1
125,,,1,10,200,1.0,2.033953332901001,1
126,,,2,2,10,1.0,0.09235668182373047,1
127,,,2,2,25,1.0,0.2583629131317139,1
128,,,2,2,50,1.0,0.48824000358581543,1
129,,,2,2,100,1.0,0.9592183589935303,1
130,,,2,2,150,1.0,1.858111572265625,1
131,,,2,2,200,1.0,2.2206456661224365,1
132,,,2,5,10,1.0,0.10198411941528321,1
133,,,2,5,25,1.0,0.33203787803649903,1
134,,,2,5,50,1.0,0.7278438568115234,1
135,,,2,5,100,1.0,1.1680170059204102,1
136,,,2,5,150,1.0,1.9702884674072265,1
137,,,2,5,200,1.0,2.9640359401702883,1
138,,,2,10,10,1.0,0.17969956398010253,1
139,,,2,10,25,1.0,0.32538347244262694,1
140,,,2,10,50,1.0,0.7320740699768067,1
141,,,2,10,100,1.0,1.3049242973327637,1
142,,,2,10,150,1.0,1.6622404098510741,1
143,,,2,10,200,1.0,1.8162403106689453,1
144,,,4,2,10,0.9995384615384616,0.09114274978637696,477
145,,,4,2,25,1.0,0.22406339645385742,1
146,,,4,2,50,1.0,0.5464155673980713,1
147,,,4,2,100,1.0,1.502770185470581,1
148,,,4,2,150,1.0,2.88985333442688,1
149,,,4,2,200,1.0,2.442536735534668,1
150,,,4,5,10,1.0,0.10757865905761718,1
151,,,4,5,25,1.0,0.4574277400970459,1
152,,,4,5,50,1.0,0.7143166065216064,1
