,param_C,param_degree,param_gamma,param_kernel,mean_test_score,mean_fit_time,rank_test_score
0,0.1,2,scale,linear,0.8633622313021851,2.924138069152832,37
1,0.1,2,scale,rbf,0.9302975069580149,1.6854880809783936,28
2,0.1,2,scale,poly,0.8852126487830876,2.0651827335357664,36
3,0.1,2,scale,sigmoid,0.45347652040030795,4.971778726577758,61
4,0.1,2,auto,linear,0.8633622313021851,3.1070717334747315,37
5,0.1,2,auto,rbf,0.9935373956297745,0.618943166732788,15
6,0.1,2,auto,poly,0.8999836560667969,5.07458348274231,34
7,0.1,2,auto,sigmoid,0.42391247705335466,7.1567699909210205,70
8,0.1,3,scale,linear,0.8633622313021851,3.0754140853881835,37
9,0.1,3,scale,rbf,0.9302975069580149,1.3191628932952881,28
10,0.1,3,scale,poly,0.9326053177000059,1.930431842803955,27
11,0.1,3,scale,sigmoid,0.45347652040030795,5.504783058166504,61
12,0.1,3,auto,linear,0.8633622313021851,2.6127638816833496,37
13,0.1,3,auto,rbf,0.9935373956297745,0.6285480499267578,15
14,0.1,3,auto,poly,0.9796898205720377,19.9015643119812,22
15,0.1,3,auto,sigmoid,0.42391247705335466,7.164271020889283,70
16,0.1,4,scale,linear,0.8633622313021851,3.6758785247802734,37
17,0.1,4,scale,rbf,0.9302975069580149,1.8296239376068115,28
18,0.1,4,scale,poly,0.9623031918043466,2.065562438964844,25
19,0.1,4,scale,sigmoid,0.45347652040030795,5.996980762481689,61
20,0.1,4,auto,linear,0.8633622313021851,3.9951257705688477,37
21,0.1,4,auto,rbf,0.9935373956297745,0.5638303756713867,15
22,0.1,4,auto,poly,1.0,15.206642866134644,1
23,0.1,4,auto,sigmoid,0.42391247705335466,7.905375623703003,70
24,1.0,2,scale,linear,0.8633622313021851,7.043663024902344,37
25,1.0,2,scale,rbf,0.9832285189790962,1.1171713829040528,19
26,1.0,2,scale,poly,0.8978307573873394,2.478678750991821,35
27,1.0,2,scale,sigmoid,0.44717498667614136,4.475688886642456,67
28,1.0,2,auto,linear,0.8633622313021851,6.042583799362182,37
29,1.0,2,auto,rbf,0.9993846153846153,0.15108723640441896,8
30,1.0,2,auto,poly,0.9122922958488779,33.894585371017456,32
31,1.0,2,auto,sigmoid,0.5904007816663707,8.400080394744872,55
32,1.0,3,scale,linear,0.8633622313021851,6.681829309463501,37
33,1.0,3,scale,rbf,0.9832285189790962,0.8378958225250244,19
34,1.0,3,scale,poly,0.9553784568010896,4.195314121246338,26
35,1.0,3,scale,sigmoid,0.44717498667614136,3.964723491668701,67
36,1.0,3,auto,linear,0.8633622313021851,7.1178121089935305,37
37,1.0,3,auto,rbf,0.9993846153846153,0.23360981941223144,8
38,1.0,3,auto,poly,0.991229703322082,326.28549060821535,18
39,1.0,3,auto,sigmoid,0.5904007816663707,7.809423971176147,55
40,1.0,4,scale,linear,0.8633622313021851,4.908725070953369,37
41,1.0,4,scale,rbf,0.9832285189790962,0.8199090957641602,19
42,1.0,4,scale,poly,0.9790744359566531,3.566287612915039,23
43,1.0,4,scale,sigmoid,0.44717498667614136,4.805513715744018,67
44,1.0,4,auto,linear,0.8633622313021851,4.046404695510864,37
45,1.0,4,auto,rbf,0.9993846153846153,0.09909601211547851,8
46,1.0,4,auto,poly,1.0,6.137096834182739,1
47,1.0,4,auto,sigmoid,0.5904007816663707,2.7704288482666017,55
48,10.0,2,scale,linear,0.8633622313021851,16.25608549118042,37
49,10.0,2,scale,rbf,0.9959997631314028,0.1498408317565918,12
50,10.0,2,scale,poly,0.9018301652158465,4.684233093261719,33
51,10.0,2,scale,sigmoid,0.4484057559069107,1.7696346282958983,64
52,10.0,2,auto,linear,0.8633622313021851,29.640968990325927,37
53,10.0,2,auto,rbf,1.0,0.04366879463195801,1
54,10.0,2,auto,poly,0.9195256706342156,597.8278660297394,31
55,10.0,2,auto,sigmoid,0.5396230236276426,7.738790225982666,58
56,10.0,3,scale,linear,0.8633622313021851,40.011519813537596,37
57,10.0,3,scale,rbf,0.9959997631314028,0.3894034385681152,12
58,10.0,3,scale,poly,0.9776894652691419,36.64764089584351,24
59,10.0,3,scale,sigmoid,0.4484057559069107,4.928727769851685,64
60,10.0,3,auto,linear,0.8633622313021851,1128.29867477417,37
61,10.0,3,auto,rbf,1.0,0.08890581130981445,1
62,10.0,3,auto,poly,1.0,120.22632799148559,1
63,10.0,3,auto,sigmoid,0.5396230236276426,7.487308502197266,58
64,10.0,4,scale,linear,0.8633622313021851,40.92742829322815,37
65,10.0,4,scale,rbf,0.9959997631314028,0.32271456718444824,12
66,10.0,4,scale,poly,0.9969228400544798,5.618633460998535,11
67,10.0,4,scale,sigmoid,0.4484057559069107,4.475473928451538,64
68,10.0,4,auto,linear,0.8633622313021851,38.27658371925354,37
69,10.0,4,auto,rbf,1.0,0.144301176071167,1
70,10.0,4,auto,poly,1.0,15.646565008163453,1
71,10.0,4,auto,sigmoid,0.5396230236276426,7.895473480224609,58
