,param_C,param_degree,param_gamma,param_kernel,mean_test_score,mean_fit_time,rank_test_score
0,0.1,2,scale,linear,0.7564254160004737,5.0344785213470455,49
1,0.1,2,scale,rbf,0.9262962041807308,2.2729376316070558,29
2,0.1,2,scale,poly,0.9167560845620892,1.6990132808685303,33
3,0.1,2,scale,sigmoid,0.28419482442115235,4.345683908462524,61
4,0.1,2,auto,linear,0.7564254160004737,2.964888095855713,49
5,0.1,2,auto,rbf,0.9929218925800912,0.6210365772247315,15
6,0.1,2,auto,poly,0.909370877005981,6.386715364456177,35
7,0.1,2,auto,sigmoid,0.5177720139752472,4.991122579574585,55
8,0.1,3,scale,linear,0.7564254160004737,2.8391376972198485,49
9,0.1,3,scale,rbf,0.9262962041807308,1.458151912689209,29
10,0.1,3,scale,poly,0.9272204654467935,1.5948391914367677,27
11,0.1,3,scale,sigmoid,0.28419482442115235,4.218993997573852,61
12,0.1,3,auto,linear,0.7564254160004737,2.778210973739624,49
13,0.1,3,auto,rbf,0.9929218925800912,0.5959493160247803,15
14,0.1,3,auto,poly,0.9913829573044353,26.374848556518554,18
15,0.1,3,auto,sigmoid,0.5177720139752472,6.628367233276367,55
16,0.1,4,scale,linear,0.7564254160004737,2.8941829204559326,49
17,0.1,4,scale,rbf,0.9262962041807308,1.5244152545928955,29
18,0.1,4,scale,poly,0.9699956179309528,2.0235580444335937,25
19,0.1,4,scale,sigmoid,0.28419482442115235,4.200496006011963,61
20,0.1,4,auto,linear,0.7564254160004737,3.024565267562866,49
21,0.1,4,auto,rbf,0.9929218925800912,0.6352022171020508,15
22,0.1,4,auto,poly,0.9953835494759282,5.271319437026977,1
23,0.1,4,auto,sigmoid,0.5177720139752472,5.431751394271851,55
24,1.0,2,scale,linear,0.7571946467697045,11.597556400299073,43
25,1.0,2,scale,rbf,0.9816891099662464,0.9982540607452393,22
26,1.0,2,scale,poly,0.9087559661277906,3.4979672908782957,36
27,1.0,2,scale,sigmoid,0.2837331675253153,4.499032831192016,64
28,1.0,2,auto,linear,0.7571946467697045,10.600658702850343,43
29,1.0,2,auto,rbf,0.9950758571682359,0.24162588119506836,8
30,1.0,2,auto,poly,0.9230655533842601,28.253889894485475,32
31,1.0,2,auto,sigmoid,0.5177720139752472,5.0610607147216795,55
32,1.0,3,scale,linear,0.7571946467697045,8.980149269104004,43
33,1.0,3,scale,rbf,0.9816891099662464,0.7106630325317382,22
34,1.0,3,scale,poly,0.9659945520222657,5.392347097396851,26
35,1.0,3,scale,sigmoid,0.2837331675253153,4.159038877487182,64
36,1.0,3,auto,linear,0.7571946467697045,8.832753229141236,43
37,1.0,3,auto,rbf,0.9950758571682359,0.17490367889404296,8
38,1.0,3,auto,poly,0.9947680464262451,71.74663109779358,11
39,1.0,3,auto,sigmoid,0.5177720139752472,4.956059408187866,55
40,1.0,4,scale,linear,0.7571946467697045,10.706832838058471,43
41,1.0,4,scale,rbf,0.9816891099662464,0.9282628536224365,22
42,1.0,4,scale,poly,0.988305560490318,7.4411499977111815,20
43,1.0,4,scale,sigmoid,0.2837331675253153,3.872322988510132,64
44,1.0,4,auto,linear,0.7571946467697045,9.095926809310914,43
45,1.0,4,auto,rbf,0.9950758571682359,0.2161963939666748,8
46,1.0,4,auto,poly,0.9953835494759282,5.911486959457397,1
47,1.0,4,auto,sigmoid,0.5177720139752472,4.855995750427246,55
48,10.0,2,scale,linear,0.7573484929235507,48.532195281982425,37
49,10.0,2,scale,rbf,0.9932294664534849,0.349462890625,12
50,10.0,2,scale,poly,0.9122946645348493,7.531342649459839,34
51,10.0,2,scale,sigmoid,0.2837331675253153,3.7106440544128416,64
52,10.0,2,auto,linear,0.7573484929235507,50.88874750137329,37
53,10.0,2,auto,rbf,0.9953835494759282,0.2093728542327881,1
54,10.0,2,auto,poly,0.9262971516551193,334.8655923366547,28
55,10.0,2,auto,sigmoid,0.16371457334043937,4.19994158744812,70
56,10.0,3,scale,linear,0.7573484929235507,54.153297138214114,37
57,10.0,3,scale,rbf,0.9932294664534849,0.39970903396606444,12
58,10.0,3,scale,poly,0.985074435956653,29.425482034683228,21
59,10.0,3,scale,sigmoid,0.2837331675253153,4.04002423286438,64
60,10.0,3,auto,linear,0.7573484929235507,57.20288577079773,37
61,10.0,3,auto,rbf,0.9953835494759282,0.11514973640441895,1
62,10.0,3,auto,poly,0.9953835494759282,122.40064792633056,1
63,10.0,3,auto,sigmoid,0.16371457334043937,5.3634802341461185,70
64,10.0,4,scale,linear,0.7573484929235507,66.76102876663208,37
65,10.0,4,scale,rbf,0.9932294664534849,0.45314598083496094,12
66,10.0,4,scale,poly,0.9913829573044353,8.219683599472045,18
67,10.0,4,scale,sigmoid,0.2837331675253153,6.565413999557495,64
68,10.0,4,auto,linear,0.7573484929235507,65.45990424156189,37
69,10.0,4,auto,rbf,0.9953835494759282,0.1752368450164795,1
70,10.0,4,auto,poly,0.9953835494759282,5.647557592391967,1
71,10.0,4,auto,sigmoid,0.16371457334043937,5.439306116104126,70
