,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
97,,log2,4,5,25,1.0,0.4408679485321045,1
98,,log2,4,5,50,1.0,0.6888826370239258,1
99,,log2,4,5,100,1.0,1.777913236618042,1
100,,log2,4,5,150,1.0,2.1523502349853514,1
101,,log2,4,5,200,1.0,3.321826219558716,1
102,,log2,4,10,10,0.9995384615384616,0.23117432594299317,464
103,,log2,4,10,25,1.0,0.4212958335876465,1
104,,log2,4,10,50,1.0,0.8589430332183838,1
105,,log2,4,10,100,1.0,1.638740873336792,1
106,,log2,4,10,150,1.0,2.2445175647735596,1
107,,log2,4,10,200,1.0,2.7869041919708253,1
108,,,1,2,10,1.0,0.3855018138885498,1
109,,,1,2,25,1.0,0.869003438949585,1
110,,,1,2,50,1.0,1.5785871505737306,1
111,,,1,2,100,1.0,2.669628143310547,1
112,,,1,2,150,1.0,3.883932590484619,1
113,,,1,2,200,1.0,4.722798109054565,1
114,,,1,5,10,1.0,0.22996621131896972,1
115,,,1,5,25,1.0,0.5361979484558106,1
116,,,1,5,50,1.0,1.157466745376587,1
117,,,1,5,100,1.0,2.2489902496337892,1
118,,,1,5,150,1.0,3.4155342102050783,1
119,,,1,5,200,1.0,4.884405279159546,1
120,,,1,10,10,0.9993842600817195,0.25881805419921877,483
121,,,1,10,25,1.0,0.6302021503448486,1
122,,,1,10,50,0.9998461538461537,1.2019481658935547,450
123,,,1,10,100,1.0,2.6290191173553468,1
124,,,1,10,150,0.9995381062355658,3.5855615615844725,466
125,,,1,10,200,1.0,7.0568548202514645,1
126,,,2,2,10,1.0,0.4142913341522217,1
127,,,2,2,25,1.0,0.8490909576416016,1
128,,,2,2,50,1.0,2.214047145843506,1
129,,,2,2,100,1.0,2.978156805038452,1
130,,,2,2,150,1.0,4.301326560974121,1
131,,,2,2,200,1.0,5.519406652450561,1
132,,,2,5,10,1.0,0.23588099479675292,1
133,,,2,5,25,1.0,0.573250675201416,1
134,,,2,5,50,1.0,1.383573293685913,1
