,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,mean_test_score,mean_fit_time,rank_test_score
0,gini,,,1,2,1.0,0.022992944717407225,1
1,gini,,,1,5,1.0,0.028794097900390624,1
2,gini,,,1,10,1.0,0.026198863983154297,1
3,gini,,,2,2,1.0,0.025948762893676758,1
4,gini,,,2,5,1.0,0.02643733024597168,1
5,gini,,,2,10,1.0,0.01747722625732422,1
6,gini,,,5,2,1.0,0.01676340103149414,1
7,gini,,,5,5,1.0,0.021211528778076173,1
8,gini,,,5,10,1.0,0.028797292709350587,1
9,gini,,sqrt,1,2,1.0,0.017276430130004884,1
10,gini,,sqrt,1,5,1.0,0.026328659057617186,1
11,gini,,sqrt,1,10,1.0,0.02780938148498535,1
12,gini,,sqrt,2,2,1.0,0.017121028900146485,1
13,gini,,sqrt,2,5,1.0,0.03410325050354004,1
14,gini,,sqrt,2,10,1.0,0.035024070739746095,1
15,gini,,sqrt,5,2,0.9983076923076922,0.03429622650146484,181
16,gini,,sqrt,5,5,0.9978461538461538,0.02695631980895996,195
17,gini,,sqrt,5,10,0.9993846153846153,0.023995637893676758,152
18,gini,,log2,1,2,1.0,0.023781347274780273,1
19,gini,,log2,1,5,1.0,0.029100799560546876,1
20,gini,,log2,1,10,1.0,0.021274423599243163,1
21,gini,,log2,2,2,1.0,0.033947181701660153,1
22,gini,,log2,2,5,1.0,0.03191566467285156,1
23,gini,,log2,2,10,0.9990769230769232,0.014303112030029297,156
24,gini,,log2,5,2,0.9990765677740274,0.02679762840270996,162
25,gini,,log2,5,5,1.0,0.012372779846191406,1
26,gini,,log2,5,10,0.9992304139278735,0.010090112686157227,155
27,gini,5,,1,2,0.9806123053236216,0.02165188789367676,219
28,gini,5,,1,5,0.9806123053236216,0.019124364852905272,219
29,gini,5,,1,10,0.9806123053236216,0.018022966384887696,219
30,gini,5,,2,2,0.9806123053236216,0.016153764724731446,219
31,gini,5,,2,5,0.9806123053236216,0.012540340423583984,219
32,gini,5,,2,10,0.9806123053236216,0.022611284255981447,219
33,gini,5,,5,2,0.9806123053236216,0.022361087799072265,219
34,gini,5,,5,5,0.9806123053236216,0.017069530487060548,219
35,gini,5,,5,10,0.9806123053236216,0.0149627685546875,219
36,gini,5,sqrt,1,2,0.975690531177829,0.009496068954467774,242
37,gini,5,sqrt,1,5,0.9818433114229881,0.016240358352661133,217
