,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,l1,liblinear,0.8779824717238112,0.023264598846435548,1
1,0.01,50,l1,saga,0.8482850713566649,0.06024336814880371,531
2,0.01,50,l1,lbfgs,,0.0018120288848876953,541
3,0.01,50,l1,newton-cg,,0.002132749557495117,541
4,0.01,50,l2,liblinear,0.8701346597974773,0.014189338684082032,11
5,0.01,50,l2,saga,0.8521321726772072,0.05520529747009277,501
6,0.01,50,l2,lbfgs,0.8521321726772072,0.027856826782226562,501
7,0.01,50,l2,newton-cg,0.8521321726772072,0.02455134391784668,501
8,0.01,50,elasticnet,liblinear,,0.0015542030334472657,541
9,0.01,50,elasticnet,saga,,0.0009495258331298828,541
10,0.01,50,elasticnet,lbfgs,,0.00226287841796875,541
11,0.01,50,elasticnet,newton-cg,,0.002522706985473633,541
12,0.01,50,,liblinear,,0.00202789306640625,541
13,0.01,50,,saga,0.8584401018534967,0.07964930534362794,91
14,0.01,50,,lbfgs,0.8584401018534967,0.026808738708496094,91
15,0.01,50,,newton-cg,0.8584401018534967,0.034539079666137694,91
16,0.01,100,l1,liblinear,0.8779824717238112,0.02603611946105957,1
17,0.01,100,l1,saga,0.8482850713566649,0.061630535125732425,531
18,0.01,100,l1,lbfgs,,0.001236295700073242,541
19,0.01,100,l1,newton-cg,,0.0020134449005126953,541
20,0.01,100,l2,liblinear,0.8701346597974773,0.014256048202514648,11
21,0.01,100,l2,saga,0.8521321726772072,0.05818915367126465,501
22,0.01,100,l2,lbfgs,0.8521321726772072,0.02678675651550293,501
23,0.01,100,l2,newton-cg,0.8521321726772072,0.02941741943359375,501
24,0.01,100,elasticnet,liblinear,,0.0029924869537353515,541
25,0.01,100,elasticnet,saga,,0.0013796329498291016,541
26,0.01,100,elasticnet,lbfgs,,0.0016121387481689454,541
27,0.01,100,elasticnet,newton-cg,,0.0018729686737060547,541
28,0.01,100,,liblinear,,0.001627206802368164,541
29,0.01,100,,saga,0.8584401018534967,0.07775692939758301,91
30,0.01,100,,lbfgs,0.8584401018534967,0.02880063056945801,91
