,param_n_neighbors,param_p,param_weights,mean_test_score,mean_fit_time,rank_test_score
0,3,1,uniform,0.9993846153846153,0.016001272201538085,37
1,3,1,distance,1.0,0.018863487243652343,1
2,3,2,uniform,0.9993846153846153,0.012965869903564454,37
3,3,2,distance,1.0,0.012824058532714844,1
4,4,1,uniform,0.9981534908509504,0.012765216827392577,39
5,4,1,distance,1.0,0.014914846420288086,1
6,4,2,uniform,0.9981534908509504,0.01537337303161621,39
7,4,2,distance,1.0,0.018650627136230467,1
8,5,1,uniform,0.9978456801089596,0.013022613525390626,41
9,5,1,distance,1.0,0.02135295867919922,1
10,5,2,uniform,0.9975378693669686,0.015548515319824218,44
11,5,2,distance,1.0,0.016154003143310548,1
12,6,1,uniform,0.9976918339551133,0.017105674743652342,43
13,6,1,distance,1.0,0.014493989944458007,1
14,6,2,uniform,0.9972301770592763,0.012439775466918945,46
15,6,2,distance,1.0,0.019121456146240234,1
16,7,1,uniform,0.9976921892580091,0.014362716674804687,42
17,7,1,distance,1.0,0.02312760353088379,1
18,7,2,uniform,0.9973843785160182,0.0186948299407959,45
19,7,2,distance,1.0,0.013658714294433594,1
20,8,1,uniform,0.9969227216201813,0.013379621505737304,47
21,8,1,distance,1.0,0.02692713737487793,1
22,8,2,uniform,0.9966149108781904,0.013856983184814453,48
23,8,2,distance,1.0,0.017279624938964844,1
24,9,1,uniform,0.9961533724166518,0.01809525489807129,49
25,9,1,distance,1.0,0.016140174865722657,1
26,9,2,uniform,0.995999407828507,0.01394824981689453,50
27,9,2,distance,1.0,0.01711559295654297,1
28,10,1,uniform,0.9955381062355657,0.013170576095581055,54
29,10,1,distance,1.0,0.013746976852416992,1
30,10,2,uniform,0.9952301770592763,0.01903500556945801,58
31,10,2,distance,1.0,0.013331127166748048,1
32,11,1,uniform,0.9958454432403624,0.012608909606933593,52
33,11,1,distance,1.0,0.019250917434692382,1
34,11,2,uniform,0.99553775093267,0.014500951766967774,55
35,11,2,distance,1.0,0.014764881134033203,1
36,12,1,uniform,0.9958454432403624,0.020067119598388673,52
37,12,1,distance,1.0,0.015201234817504882,1
38,12,2,uniform,0.9958456801089595,0.0157529354095459,51
39,12,2,distance,1.0,0.01670184135437012,1
40,13,1,uniform,0.9953840232131226,0.018444013595581055,56
41,13,1,distance,1.0,0.01359868049621582,1
42,13,2,uniform,0.9944609462900456,0.023045873641967772,61
43,13,2,distance,1.0,0.018540382385253906,1
44,14,1,uniform,0.995230295493575,0.01589794158935547,57
45,14,1,distance,1.0,0.012990188598632813,1
46,14,2,uniform,0.9943071001361995,0.016514348983764648,63
47,14,2,distance,1.0,0.017243576049804688,1
48,15,1,uniform,0.9950764493397288,0.021000766754150392,59
49,15,1,distance,1.0,0.011973714828491211,1
50,15,2,uniform,0.9929222478829869,0.017302989959716797,66
51,15,2,distance,1.0,0.012553119659423828,1
52,16,1,uniform,0.9946147924438918,0.013861846923828126,60
53,16,1,distance,1.0,0.017757129669189454,1
54,16,2,uniform,0.9936914786522177,0.017240619659423827,65
55,16,2,distance,1.0,0.013256168365478516,1
56,17,1,uniform,0.994460827855747,0.012410688400268554,62
57,17,1,distance,1.0,0.017457962036132812,1
58,17,2,uniform,0.9926145555752945,0.014639949798583985,67
59,17,2,distance,1.0,0.01519322395324707,1
60,18,1,uniform,0.9921527802451588,0.018924140930175783,68
61,18,1,distance,1.0,0.014188814163208007,1
62,18,2,uniform,0.9903065079647065,0.017174386978149415,71
63,18,2,distance,1.0,0.02216486930847168,1
64,19,1,uniform,0.9941530171137561,0.013230848312377929,64
65,19,1,distance,1.0,0.017069911956787108,1
66,19,2,uniform,0.9919990525256115,0.015282344818115235,69
67,19,2,distance,1.0,0.013855981826782226,1
68,20,1,uniform,0.9918449695031683,0.01880793571472168,70
69,20,1,distance,1.0,0.01172952651977539,1
70,20,2,uniform,0.9901526618108605,0.012874078750610352,72
71,20,2,distance,1.0,0.01662726402282715,1
