,param_learning_rate,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,0.8964466157399184,0.5259769916534424,28
1,0.01,75,0.9264502872031741,0.8523349761962891,27
2,0.01,100,0.9587625984485107,1.2341460227966308,22
3,0.01,125,0.9546079232545746,1.6043957233428956,23
4,0.01,150,0.9546079232545746,1.9528122425079346,23
5,0.01,175,0.9546079232545746,2.119413709640503,23
6,0.01,200,0.9546079232545746,2.4439960956573485,23
7,0.05,50,0.9595310001776515,0.7022554874420166,21
8,0.05,75,0.9747650855687807,0.8185404300689697,20
9,0.05,100,0.9793811807899567,1.0371180534362794,16
10,0.05,125,0.9801506484277848,1.2833340644836426,13
11,0.05,150,0.9806121868893232,1.6596923828125,8
12,0.05,175,0.9806121868893232,1.8786734104156495,8
13,0.05,200,0.9806121868893232,2.310009813308716,8
14,0.1,50,0.9793811807899567,0.5814453125,16
15,0.1,75,0.9806121868893232,0.8961448669433594,8
16,0.1,100,0.9806121868893232,1.157135009765625,8
17,0.1,125,0.9793814176585538,1.5542036533355712,15
18,0.1,150,0.9775352638124002,1.99739408493042,18
19,0.1,175,0.9773812992242554,2.203472852706909,19
20,0.1,200,0.9795359744181915,2.6127435207366942,14
21,1.0,50,1.0,0.6577725410461426,1
22,1.0,75,1.0,0.9950261592864991,1
23,1.0,100,1.0,1.295933485031128,1
24,1.0,125,1.0,1.7541780948638916,1
25,1.0,150,1.0,2.0896162509918215,1
26,1.0,175,1.0,2.4674391746520996,1
27,1.0,200,1.0,2.697355842590332,1
