,param_n_neighbors,param_p,param_weights,mean_test_score,mean_fit_time,rank_test_score
0,3,1,uniform,0.9943069817019008,0.0069525718688964845,7
1,3,1,distance,0.9943069817019008,0.005002307891845703,7
2,3,2,uniform,0.9943069817019008,0.007790899276733399,7
3,3,2,distance,0.9943069817019008,0.02906765937805176,7
4,4,1,uniform,0.9943069817019008,0.016403579711914064,7
5,4,1,distance,0.9943069817019008,0.007159757614135742,7
6,4,2,uniform,0.9943069817019008,0.011234617233276368,7
7,4,2,distance,0.9943069817019008,0.016574621200561523,7
8,5,1,uniform,0.9941527802451589,0.007980871200561523,15
9,5,1,distance,0.9941527802451589,0.006814432144165039,15
10,5,2,uniform,0.9941527802451589,0.007401418685913086,15
11,5,2,distance,0.9941527802451589,0.008292818069458007,15
12,6,1,uniform,0.9941527802451589,0.00901341438293457,15
13,6,1,distance,0.9941527802451589,0.02343921661376953,15
14,6,2,uniform,0.9941527802451589,0.012079143524169922,15
15,6,2,distance,0.9941527802451589,0.008366918563842774,15
16,7,1,uniform,0.9941527802451589,0.010399246215820312,15
17,7,1,distance,0.9941527802451589,0.007351589202880859,15
18,7,2,uniform,0.9941527802451589,0.00919933319091797,15
19,7,2,distance,0.9941527802451589,0.007799339294433594,15
20,8,1,uniform,0.9941527802451589,0.008213329315185546,15
21,8,1,distance,0.9946146740095931,0.007599973678588867,1
22,8,2,uniform,0.9941527802451589,0.008517646789550781,15
23,8,2,distance,0.9946146740095931,0.008625459671020509,1
24,9,1,uniform,0.993998578788417,0.010097980499267578,49
25,9,1,distance,0.9944604725528514,0.010206985473632812,3
26,9,2,uniform,0.993998578788417,0.01679506301879883,49
27,9,2,distance,0.9944604725528514,0.02304086685180664,3
28,10,1,uniform,0.9929216557114939,0.013216781616210937,71
29,10,1,distance,0.9939989340913129,0.017838668823242188,37
30,10,2,uniform,0.9929216557114939,0.03267340660095215,71
31,10,2,distance,0.9939989340913129,0.010987138748168946,37
32,11,1,uniform,0.9933831941730326,0.025941228866577147,51
33,11,1,distance,0.9944604725528514,0.012073993682861328,3
34,11,2,uniform,0.9933831941730326,0.014715242385864257,51
35,11,2,distance,0.9944604725528514,0.014042425155639648,3
36,12,1,uniform,0.9930755018653402,0.037576818466186525,53
37,12,1,distance,0.9941527802451589,0.014157772064208984,15
38,12,2,uniform,0.9930755018653402,0.03323798179626465,53
39,12,2,distance,0.9941527802451589,0.013506507873535157,15
40,13,1,uniform,0.9930755018653402,0.011167669296264648,53
41,13,1,distance,0.9941527802451589,0.010616397857666016,15
42,13,2,uniform,0.9930755018653402,0.014232969284057618,53
43,13,2,distance,0.9941527802451589,0.016303110122680663,15
44,14,1,uniform,0.9930755018653402,0.013889169692993164,53
45,14,1,distance,0.9941527802451589,0.0694009780883789,15
46,14,2,uniform,0.9930755018653402,0.02197127342224121,53
47,14,2,distance,0.9941527802451589,0.026545190811157228,15
48,15,1,uniform,0.9930755018653402,0.01067051887512207,53
49,15,1,distance,0.9941527802451589,0.02390284538269043,15
50,15,2,uniform,0.9930755018653402,0.023827028274536134,53
51,15,2,distance,0.9941527802451589,0.014824628829956055,15
52,16,1,uniform,0.9929216557114942,0.009351491928100586,61
53,16,1,distance,0.9939989340913128,0.026784086227416994,39
54,16,2,uniform,0.9929216557114942,0.013412714004516602,61
55,16,2,distance,0.9939989340913128,0.0200930118560791,39
56,17,1,uniform,0.9929216557114942,0.012160682678222656,61
57,17,1,distance,0.9939989340913128,0.010987520217895508,39
58,17,2,uniform,0.9929216557114942,0.012448835372924804,61
59,17,2,distance,0.9939989340913128,0.011958885192871093,39
60,18,1,uniform,0.9929216557114942,0.013829660415649415,61
61,18,1,distance,0.9939989340913128,0.016551637649536134,39
62,18,2,uniform,0.9929216557114942,0.025006961822509766,61
63,18,2,distance,0.9939989340913128,0.011841917037963867,39
64,19,1,uniform,0.9929216557114942,0.030079174041748046,61
65,19,1,distance,0.9939989340913128,0.011295938491821289,39
66,19,2,uniform,0.9929216557114942,0.010730457305908204,61
67,19,2,distance,0.9939989340913128,0.019147634506225586,39
68,20,1,uniform,0.9929216557114942,0.009952497482299805,61
69,20,1,distance,0.9939989340913128,0.032160472869873044,39
70,20,2,uniform,0.9929216557114942,0.023606204986572267,61
71,20,2,distance,0.9939989340913128,0.023991775512695313,39
