,param_learning_rate,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
0,0.01,50,0.9313746669035353,0.7108950614929199,21
1,0.01,75,0.9313746669035353,1.2722683906555177,21
2,0.01,100,0.9313746669035353,1.5877024173736571,21
3,0.01,125,0.9299900515189199,2.091939115524292,25
4,0.01,150,0.9299900515189199,2.4822736263275145,25
5,0.01,175,0.9299900515189199,2.365425443649292,25
6,0.01,200,0.9299900515189199,3.4848883628845213,25
7,0.05,50,0.9313746669035353,0.8085095405578613,21
8,0.05,75,0.9779962101024455,1.0479394435882567,20
9,0.05,100,0.9806121868893232,1.599767541885376,9
10,0.05,125,0.9806121868893232,2.156482124328613,9
11,0.05,150,0.9806121868893232,2.579247236251831,9
12,0.05,175,0.9806121868893232,2.746925449371338,9
13,0.05,200,0.9806121868893232,3.141767644882202,9
14,0.1,50,0.9806121868893232,0.622411060333252,9
15,0.1,75,0.9806121868893232,1.183885383605957,9
16,0.1,100,0.9806121868893232,1.4064473152160644,9
17,0.1,125,0.9806121868893232,1.9864493370056153,9
18,0.1,150,0.9806121868893232,2.4973356246948244,9
19,0.1,175,0.9806121868893232,2.7835912227630617,9
20,0.1,200,0.9856901758749335,11.224202489852905,8
21,1.0,50,0.9943066263990051,4.8320231437683105,1
22,1.0,75,0.9924604725528514,17.59811520576477,2
23,1.0,100,0.9921527802451588,1.4205960750579834,3
24,1.0,125,0.9921527802451588,2.094222831726074,3
25,1.0,150,0.9921527802451588,205.49550290107726,3
26,1.0,175,0.9921527802451588,2.0823780059814454,3
27,1.0,200,0.9915373956297744,1.2804385662078857,7
