Model,Test Accuracy,Training Time (s)
InceptionV3,0.9357614517211914,355.78491044044495
Xception,0.9371622800827026,366.72782015800476
MobileNet,0.9567740559577942,212.12901329994202
MobileNetV2,0.9435661435127258,197.3180947303772
DenseNet121,0.9505703449249268,585.0195624828339
VGG16,0.8899339437484741,1878.8516573905945
my,0.8899339437484741,415.77356719970703
